personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
708,Kevin Garnett,47,"BKN, MIN",0.467,0.8,0.021,6.872,6.617,1.638,0.979,0.362,0.979
977,Kobe Bryant,35,LAL,0.373,0.813,1.543,22.343,5.686,5.629,1.343,0.2,3.657
1495,Tim Duncan,77,SAS,0.512,0.74,0.026,13.896,9.143,2.987,0.818,1.961,1.701
1713,Vince Carter,66,MEM,0.333,0.789,1.045,5.818,2.015,1.197,0.652,0.212,0.652
1717,Dirk Nowitzki,77,DAL,0.459,0.882,1.351,17.312,5.935,1.857,0.506,0.429,1.065
1718,Paul Pierce,73,WAS,0.447,0.781,1.616,11.89,4.027,1.973,0.63,0.329,1.26
1737,Nazr Mohammed,23,CHI,0.433,0.333,0.0,1.174,1.652,0.13,0.174,0.217,0.304
1882,Elton Brand,36,ATL,0.442,0.522,0.0,2.667,2.778,0.611,0.472,0.694,0.5
1889,Andre Miller,81,"SAC, WAS",0.5,0.753,0.086,4.383,1.889,3.506,0.395,0.074,1.284
1890,Shawn Marion,57,CLE,0.446,0.765,0.211,4.842,3.544,0.895,0.474,0.474,0.579
1891,Jason Terry,77,HOU,0.422,0.812,1.636,7.026,1.571,1.909,0.857,0.247,0.961
1905,Andrei Kirilenko,7,BKN,0.0,0.75,0.0,0.429,1.143,0.143,0.143,0.0,0.143
1938,Manu Ginobili,70,SAS,0.426,0.721,1.271,10.543,3.014,4.186,0.957,0.286,2.2
2030,Kenyon Martin,11,MIL,0.409,1.0,0.0,1.818,1.727,0.455,0.455,0.545,0.273
2034,Mike Miller,52,CLE,0.325,0.75,0.615,2.096,1.75,0.885,0.269,0.077,0.442
2037,Jamal Crawford,64,LAC,0.396,0.901,1.859,15.781,1.938,2.469,0.922,0.219,1.438
2045,Hedo Turkoglu,62,LAC,0.441,0.545,0.968,3.742,1.597,0.597,0.306,0.113,0.468
2199,Tyson Chandler,75,DAL,0.666,0.72,0.0,10.28,11.52,1.12,0.56,1.213,1.4
2200,Pau Gasol,78,CHI,0.494,0.803,0.154,18.538,11.782,2.692,0.321,1.885,2.026
2202,Jason Richardson,19,PHI,0.348,0.773,1.632,9.053,3.474,2.0,0.684,0.158,0.842
2207,Joe Johnson,80,BKN,0.435,0.801,1.512,14.425,4.8,3.65,0.738,0.175,1.712
2210,Richard Jefferson,74,DAL,0.444,0.684,0.892,5.838,2.473,0.824,0.432,0.149,0.703
2216,Zach Randolph,71,MEM,0.487,0.765,0.099,16.099,10.521,2.155,0.972,0.197,2.197
2217,Brendan Haywood,22,CLE,0.467,0.538,0.0,1.591,1.318,0.091,0.091,0.455,0.455
2222,Gerald Wallace,32,BOS,0.412,0.4,0.031,1.094,1.781,0.344,0.469,0.125,0.562
2223,Samuel Dalembert,32,NYK,0.438,0.7,0.0,4.0,5.25,0.906,0.438,1.281,1.219
2225,Tony Parker,68,SAS,0.486,0.783,0.559,14.353,1.897,4.926,0.647,0.029,2.147
2365,Chris Andersen,60,MIA,0.58,0.667,0.067,5.333,4.983,0.717,0.433,1.017,0.667
2399,Mike Dunleavy,63,CHI,0.435,0.805,1.698,9.444,3.937,1.81,0.619,0.333,0.952
2400,Drew Gooden,51,WAS,0.399,0.773,0.451,5.431,4.373,0.961,0.412,0.176,0.549
2403,Nene Hilario,67,WAS,0.511,0.604,0.015,11.0,5.149,1.836,0.985,0.328,1.851
2405,Amar'e Stoudemire,59,"DAL, NYK",0.557,0.72,0.0,11.525,5.576,0.763,0.492,0.644,1.322
2406,Caron Butler,78,DET,0.407,0.902,1.064,5.897,2.513,1.013,0.551,0.051,0.628
2419,Tayshaun Prince,58,"BOS, DET, MEM",0.44,0.754,0.534,7.483,3.621,1.603,0.5,0.276,0.603
2422,John Salmons,21,NOP,0.333,0.5,0.381,2.0,1.0,0.619,0.429,0.19,0.238
2430,Carlos Boozer,71,LAL,0.499,0.627,0.0,11.775,6.789,1.338,0.577,0.169,1.296
2440,Matt Barnes,76,LAC,0.444,0.779,1.789,10.053,3.974,1.5,0.882,0.658,1.145
2446,Rasual Butler,75,WAS,0.422,0.791,1.213,7.733,2.627,0.84,0.387,0.293,0.64
2449,Luis Scola,81,IND,0.467,0.699,0.062,9.42,6.494,1.296,0.58,0.222,1.16
