season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2019-20,1713,Vince Carter,60,0.0,107,304,61,202,23,29,18,106,124,48,23,25,33,298,,ATL,0.0,4.966666666666667,2.066666666666667,0.8,0.38333333333333336,0.4166666666666667,0.55,1.0166666666666666,0.3519736842105263,0.30198019801980197,0.7931034482758621
2019-20,2037,Jamal Crawford,1,0.0,2,4,1,2,0,0,0,0,0,3,0,0,0,5,,BKN,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0
2019-20,2199,Tyson Chandler,26,0.0,14,18,0,0,6,13,25,41,66,6,6,8,8,34,C,HOU,0.0,1.3076923076923077,2.5384615384615383,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.0,0.7777777777777778,0.0,0.46153846153846156
2019-20,2544,LeBron James,67,0.0,643,1303,148,425,264,381,66,459,525,684,78,36,261,1698,F,LAL,0.0,25.34328358208955,7.835820895522388,10.208955223880597,1.164179104477612,0.5373134328358209,3.8955223880597014,2.208955223880597,0.49347659247889486,0.34823529411764703,0.6929133858267716
2019-20,2546,Carmelo Anthony,58,0.0,336,782,87,226,136,161,71,297,368,85,49,27,100,895,F,POR,0.0,15.431034482758621,6.344827586206897,1.4655172413793103,0.8448275862068966,0.46551724137931033,1.7241379310344827,1.5,0.4296675191815857,0.38495575221238937,0.84472049689441
2019-20,2594,Kyle Korver,58,0.0,126,293,99,237,35,41,15,107,122,68,26,12,48,386,F,MIL,0.0,6.655172413793103,2.103448275862069,1.1724137931034482,0.4482758620689655,0.20689655172413793,0.8275862068965517,1.706896551724138,0.4300341296928328,0.4177215189873418,0.8536585365853658
2019-20,2617,Udonis Haslem,4,0.0,4,11,1,3,3,4,1,15,16,1,0,0,1,12,F,MIA,0.0,3.0,4.0,0.25,0.0,0.0,0.25,0.25,0.36363636363636365,0.3333333333333333,0.75
2019-20,2730,Dwight Howard,69,0.0,202,277,3,5,110,214,172,335,507,45,31,79,84,517,C,LAL,0.0,7.492753623188406,7.3478260869565215,0.6521739130434783,0.4492753623188406,1.144927536231884,1.2173913043478262,0.043478260869565216,0.7292418772563177,0.6,0.514018691588785
2019-20,2738,Andre Iguodala,21,0.0,38,88,14,47,6,15,17,61,78,51,14,21,26,96,,MIA,0.0,4.571428571428571,3.7142857142857144,2.4285714285714284,0.6666666666666666,1.0,1.2380952380952381,0.6666666666666666,0.4318181818181818,0.2978723404255319,0.4
2019-20,2747,JR Smith,6,0.0,7,22,1,11,2,2,0,5,5,3,1,0,4,17,,LAL,0.0,2.8333333333333335,0.8333333333333334,0.5,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.3181818181818182,0.09090909090909091,1.0
2019-20,2772,Trevor Ariza,53,0.0,142,324,77,207,62,74,34,212,246,91,69,15,56,423,F,"POR, SAC",0.0,7.981132075471698,4.6415094339622645,1.7169811320754718,1.3018867924528301,0.2830188679245283,1.0566037735849056,1.4528301886792452,0.4382716049382716,0.3719806763285024,0.8378378378378378
2019-20,101107,Marvin Williams,58,0.0,119,267,56,156,49,57,30,153,183,60,36,30,33,343,F,"CHA, MIL",0.0,5.913793103448276,3.1551724137931036,1.0344827586206897,0.6206896551724138,0.5172413793103449,0.5689655172413793,0.9655172413793104,0.44569288389513106,0.358974358974359,0.8596491228070176
2019-20,101108,Chris Paul,70,0.0,434,887,111,304,253,279,26,323,349,472,111,11,161,1232,G,OKC,0.0,17.6,4.985714285714286,6.742857142857143,1.5857142857142856,0.15714285714285714,2.3,1.5857142857142856,0.48928974069898534,0.3651315789473684,0.9068100358422939
2019-20,101133,Ian Mahinmi,38,0.0,104,210,5,26,70,113,78,140,218,49,31,44,45,283,C,WAS,0.0,7.447368421052632,5.7368421052631575,1.2894736842105263,0.8157894736842105,1.1578947368421053,1.1842105263157894,0.13157894736842105,0.49523809523809526,0.19230769230769232,0.6194690265486725
2019-20,101139,CJ Miles,10,0.0,19,59,11,35,15,20,4,8,12,12,10,4,4,64,,WAS,0.0,6.4,1.2,1.2,1.0,0.4,0.4,1.1,0.3220338983050847,0.3142857142857143,0.75
2019-20,101141,Ersan Ilyasova,63,0.0,146,313,50,137,72,87,62,240,302,49,24,17,34,414,F,MIL,0.0,6.571428571428571,4.7936507936507935,0.7777777777777778,0.38095238095238093,0.2698412698412698,0.5396825396825397,0.7936507936507936,0.46645367412140576,0.36496350364963503,0.8275862068965517
2019-20,101150,Lou Williams,65,0.0,391,936,111,315,292,339,31,170,201,365,43,12,182,1185,G,LAC,0.0,18.23076923076923,3.0923076923076924,5.615384615384615,0.6615384615384615,0.18461538461538463,2.8,1.7076923076923076,0.41773504273504275,0.3523809523809524,0.8613569321533924
2019-20,200746,LaMarcus Aldridge,53,0.0,391,793,61,157,158,191,103,289,392,129,36,87,74,1001,F,SAS,0.0,18.88679245283019,7.39622641509434,2.4339622641509435,0.6792452830188679,1.6415094339622642,1.3962264150943395,1.150943396226415,0.4930643127364439,0.3885350318471338,0.8272251308900523
2019-20,200752,Rudy Gay,67,0.0,266,596,74,220,120,136,61,301,362,114,35,33,88,726,C,SAS,0.0,10.835820895522389,5.402985074626866,1.7014925373134329,0.5223880597014925,0.4925373134328358,1.3134328358208955,1.1044776119402986,0.4463087248322148,0.33636363636363636,0.8823529411764706
2019-20,200755,JJ Redick,60,0.0,286,631,180,397,165,185,10,141,151,119,20,10,75,917,G,NOP,0.0,15.283333333333333,2.5166666666666666,1.9833333333333334,0.3333333333333333,0.16666666666666666,1.25,3.0,0.4532488114104596,0.4534005037783375,0.8918918918918919
2019-20,200757,Thabo Sefolosha,41,0.0,37,91,15,54,3,8,21,72,93,25,24,12,15,92,,HOU,0.0,2.2439024390243905,2.268292682926829,0.6097560975609756,0.5853658536585366,0.2926829268292683,0.36585365853658536,0.36585365853658536,0.4065934065934066,0.2777777777777778,0.375
2019-20,200765,Rajon Rondo,48,0.0,137,328,41,125,27,41,23,119,142,240,40,2,91,342,G,LAL,0.0,7.125,2.9583333333333335,5.0,0.8333333333333334,0.041666666666666664,1.8958333333333333,0.8541666666666666,0.4176829268292683,0.328,0.6585365853658537
2019-20,200768,Kyle Lowry,58,0.0,334,803,164,466,294,343,32,260,292,433,82,26,178,1126,G,TOR,0.0,19.413793103448278,5.0344827586206895,7.4655172413793105,1.4137931034482758,0.4482758620689655,3.0689655172413794,2.8275862068965516,0.41594022415940224,0.351931330472103,0.8571428571428571
2019-20,200782,P.J. Tucker,72,0.0,177,426,107,299,39,48,112,364,476,115,77,36,72,500,C,HOU,0.0,6.944444444444445,6.611111111111111,1.5972222222222223,1.0694444444444444,0.5,1.0,1.4861111111111112,0.4154929577464789,0.35785953177257523,0.8125
2019-20,200794,Paul Millsap,51,0.0,211,438,54,124,115,141,98,195,293,83,44,30,70,591,F,DEN,0.0,11.588235294117647,5.745098039215686,1.6274509803921569,0.8627450980392157,0.5882352941176471,1.3725490196078431,1.0588235294117647,0.4817351598173516,0.43548387096774194,0.8156028368794326
2019-20,200826,J.J. Barea,29,0.0,85,207,32,85,20,22,10,43,53,112,5,2,38,222,G,DAL,0.0,7.655172413793103,1.8275862068965518,3.8620689655172415,0.1724137931034483,0.06896551724137931,1.3103448275862069,1.103448275862069,0.4106280193236715,0.3764705882352941,0.9090909090909091
2019-20,201143,Al Horford,67,0.0,319,709,99,283,61,80,103,353,456,270,52,61,80,798,C,PHI,0.0,11.91044776119403,6.8059701492537314,4.029850746268656,0.7761194029850746,0.9104477611940298,1.1940298507462686,1.4776119402985075,0.44992947813822287,0.3498233215547703,0.7625
2019-20,201144,Mike Conley,47,0.0,232,567,96,256,115,139,33,118,151,208,36,5,92,675,G,UTA,0.0,14.361702127659575,3.2127659574468086,4.425531914893617,0.7659574468085106,0.10638297872340426,1.9574468085106382,2.0425531914893615,0.4091710758377425,0.375,0.8273381294964028
