personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
1713,Vince Carter,60,ATL,0.352,0.793,1.017,4.967,2.067,0.8,0.383,0.417,0.55
2037,Jamal Crawford,1,BKN,0.5,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0
2199,Tyson Chandler,26,HOU,0.778,0.462,0.0,1.308,2.538,0.231,0.231,0.308,0.308
2544,LeBron James,67,LAL,0.493,0.693,2.209,25.343,7.836,10.209,1.164,0.537,3.896
2546,Carmelo Anthony,58,POR,0.43,0.845,1.5,15.431,6.345,1.466,0.845,0.466,1.724
2594,Kyle Korver,58,MIL,0.43,0.854,1.707,6.655,2.103,1.172,0.448,0.207,0.828
2617,Udonis Haslem,4,MIA,0.364,0.75,0.25,3.0,4.0,0.25,0.0,0.0,0.25
2730,Dwight Howard,69,LAL,0.729,0.514,0.043,7.493,7.348,0.652,0.449,1.145,1.217
2738,Andre Iguodala,21,MIA,0.432,0.4,0.667,4.571,3.714,2.429,0.667,1.0,1.238
2747,JR Smith,6,LAL,0.318,1.0,0.167,2.833,0.833,0.5,0.167,0.0,0.667
2772,Trevor Ariza,53,"POR, SAC",0.438,0.838,1.453,7.981,4.642,1.717,1.302,0.283,1.057
101107,Marvin Williams,58,"CHA, MIL",0.446,0.86,0.966,5.914,3.155,1.034,0.621,0.517,0.569
101108,Chris Paul,70,OKC,0.489,0.907,1.586,17.6,4.986,6.743,1.586,0.157,2.3
101133,Ian Mahinmi,38,WAS,0.495,0.619,0.132,7.447,5.737,1.289,0.816,1.158,1.184
101139,CJ Miles,10,WAS,0.322,0.75,1.1,6.4,1.2,1.2,1.0,0.4,0.4
101141,Ersan Ilyasova,63,MIL,0.466,0.828,0.794,6.571,4.794,0.778,0.381,0.27,0.54
101150,Lou Williams,65,LAC,0.418,0.861,1.708,18.231,3.092,5.615,0.662,0.185,2.8
200746,LaMarcus Aldridge,53,SAS,0.493,0.827,1.151,18.887,7.396,2.434,0.679,1.642,1.396
200752,Rudy Gay,67,SAS,0.446,0.882,1.104,10.836,5.403,1.701,0.522,0.493,1.313
200755,JJ Redick,60,NOP,0.453,0.892,3.0,15.283,2.517,1.983,0.333,0.167,1.25
200757,Thabo Sefolosha,41,HOU,0.407,0.375,0.366,2.244,2.268,0.61,0.585,0.293,0.366
200765,Rajon Rondo,48,LAL,0.418,0.659,0.854,7.125,2.958,5.0,0.833,0.042,1.896
200768,Kyle Lowry,58,TOR,0.416,0.857,2.828,19.414,5.034,7.466,1.414,0.448,3.069
200782,P.J. Tucker,72,HOU,0.415,0.812,1.486,6.944,6.611,1.597,1.069,0.5,1.0
200794,Paul Millsap,51,DEN,0.482,0.816,1.059,11.588,5.745,1.627,0.863,0.588,1.373
200826,J.J. Barea,29,DAL,0.411,0.909,1.103,7.655,1.828,3.862,0.172,0.069,1.31
201143,Al Horford,67,PHI,0.45,0.762,1.478,11.91,6.806,4.03,0.776,0.91,1.194
201144,Mike Conley,47,UTA,0.409,0.827,2.043,14.362,3.213,4.426,0.766,0.106,1.957
201145,Jeff Green,48,"HOU, UTA",0.462,0.802,1.292,9.438,2.771,1.042,0.542,0.396,0.875
201147,Corey Brewer,5,SAC,0.5,0.333,0.0,1.0,1.6,0.4,0.8,0.0,0.4
201149,Joakim Noah,5,LAC,0.5,0.75,0.0,2.8,3.2,1.4,0.2,0.2,1.2
201152,Thaddeus Young,64,CHI,0.448,0.583,1.234,10.297,4.922,1.828,1.438,0.359,1.594
201158,Marco Belinelli,57,SAS,0.392,0.828,1.175,6.333,1.737,1.211,0.211,0.018,0.333
201162,Jared Dudley,45,LAL,0.4,1.0,0.4,1.511,1.156,0.622,0.333,0.067,0.178
201163,Wilson Chandler,35,BKN,0.404,0.87,1.057,5.857,4.143,1.114,0.457,0.343,0.971
201188,Marc Gasol,44,TOR,0.427,0.735,1.295,7.523,6.25,3.341,0.773,0.864,1.341
201229,Anthony Tolliver,55,"MEM, POR, SAC",0.357,0.724,0.891,3.636,2.8,0.764,0.345,0.2,0.618
201565,Derrick Rose,50,DET,0.49,0.871,0.9,18.08,2.42,5.56,0.8,0.32,2.52
201566,Russell Westbrook,57,HOU,0.472,0.763,0.965,27.246,7.912,7.035,1.632,0.351,4.474
201567,Kevin Love,56,CLE,0.45,0.854,2.607,17.625,9.768,3.179,0.589,0.339,2.5
201568,Danilo Gallinari,62,OKC,0.438,0.893,2.871,18.71,5.194,1.919,0.677,0.081,1.226
201569,Eric Gordon,36,HOU,0.369,0.766,2.667,14.444,1.972,1.5,0.639,0.361,1.194
