personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
2207,Joe Johnson,1,BOS,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2544,LeBron James,56,LAL,0.524,0.756,2.875,30.268,8.196,6.232,1.304,1.054,3.5
2546,Carmelo Anthony,69,LAL,0.441,0.83,2.159,13.319,4.174,0.986,0.681,0.754,0.855
2617,Udonis Haslem,13,MIA,0.452,1.0,0.077,2.462,1.923,0.308,0.077,0.077,0.385
2730,Dwight Howard,60,LAL,0.612,0.658,0.133,6.2,5.933,0.583,0.567,0.6,0.783
2738,Andre Iguodala,31,GSW,0.38,0.75,0.548,4.0,3.226,3.677,0.871,0.71,0.903
2772,Trevor Ariza,24,LAL,0.333,0.556,0.833,4.0,3.417,1.125,0.542,0.25,0.458
101108,Chris Paul,65,PHX,0.493,0.837,0.969,14.738,4.354,10.8,1.862,0.308,2.354
101139,CJ Miles,1,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101150,Lou Williams,56,ATL,0.391,0.859,0.661,6.321,1.554,1.875,0.5,0.054,0.768
200746,LaMarcus Aldridge,47,BKN,0.55,0.873,0.298,12.915,5.489,0.894,0.298,1.0,0.936
200752,Rudy Gay,55,UTA,0.414,0.785,1.273,8.109,4.4,1.018,0.455,0.345,0.855
200765,Rajon Rondo,39,"CLE, LAL",0.386,0.731,0.795,4.769,2.769,4.359,0.769,0.154,1.744
200768,Kyle Lowry,63,MIA,0.44,0.851,2.286,13.397,4.476,7.524,1.063,0.27,2.667
200782,P.J. Tucker,71,MIA,0.484,0.738,1.127,7.592,5.451,2.099,0.817,0.211,0.93
200794,Paul Millsap,33,"BKN, PHI",0.391,0.708,0.242,3.485,3.455,0.879,0.303,0.394,0.576
201142,Kevin Durant,55,BKN,0.518,0.91,2.091,29.873,7.4,6.382,0.873,0.945,3.473
201143,Al Horford,69,BOS,0.467,0.842,1.29,10.159,7.681,3.362,0.71,1.333,0.942
201144,Mike Conley,72,UTA,0.435,0.796,2.347,13.694,3.014,5.347,1.333,0.292,1.708
201145,Jeff Green,75,DEN,0.524,0.833,0.707,10.293,3.08,1.28,0.373,0.36,0.947
201152,Thaddeus Young,52,"SAS, TOR",0.518,0.469,0.327,6.192,4.0,2.0,1.038,0.346,1.0
201565,Derrick Rose,26,NYK,0.445,0.968,1.423,11.962,3.0,3.962,0.846,0.462,1.5
201566,Russell Westbrook,78,LAL,0.444,0.667,1.013,18.474,7.436,7.051,0.962,0.256,3.782
201567,Kevin Love,74,CLE,0.43,0.838,2.527,13.608,7.243,2.162,0.351,0.243,1.324
201568,Danilo Gallinari,66,ATL,0.434,0.904,1.697,11.682,4.667,1.53,0.424,0.182,0.576
201569,Eric Gordon,57,HOU,0.475,0.778,2.175,13.421,1.982,2.702,0.491,0.316,1.877
201571,D.J. Augustin,55,"HOU, LAL",0.423,0.884,1.236,5.345,1.236,1.945,0.309,0.018,1.018
201572,Brook Lopez,13,MIL,0.466,0.87,1.462,12.385,4.077,0.462,0.615,1.154,0.923
201577,Robin Lopez,36,ORL,0.553,0.593,0.056,7.056,3.5,1.5,0.056,0.5,1.222
201580,JaVale McGee,74,PHX,0.629,0.699,0.027,9.189,6.703,0.568,0.297,1.095,1.324
201586,Serge Ibaka,54,"LAC, MIL",0.5,0.727,0.685,6.759,4.63,0.907,0.204,0.611,0.796
201587,Nicolas Batum,59,LAC,0.463,0.658,1.831,8.322,4.305,1.695,0.983,0.712,0.678
201588,George Hill,54,MIL,0.429,0.919,0.759,6.185,2.87,2.222,0.778,0.111,0.759
201599,DeAndre Jordan,48,"LAL, PHI",0.643,0.55,0.0,4.292,5.5,0.438,0.25,0.729,0.771
201609,Goran Dragic,21,"BKN, TOR",0.377,0.818,0.762,7.476,3.095,4.095,0.905,0.19,1.619
201933,Blake Griffin,56,BKN,0.425,0.724,0.679,6.411,4.071,1.875,0.482,0.25,0.554
201935,James Harden,65,"BKN, PHI",0.41,0.877,2.277,22.031,7.692,10.262,1.262,0.554,4.369
201937,Ricky Rubio,34,CLE,0.363,0.854,1.735,13.088,4.147,6.618,1.441,0.206,2.647
201939,Stephen Curry,64,GSW,0.437,0.923,4.453,25.469,5.234,6.312,1.328,0.359,3.219
201942,DeMar DeRozan,76,CHI,0.504,0.877,0.658,27.868,5.158,4.921,0.895,0.316,2.382
201949,James Johnson,62,BKN,0.469,0.527,0.371,5.484,3.468,2.097,0.484,0.548,0.774
