season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2021-22,2207,Joe Johnson,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,,BOS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-22,2544,LeBron James,56,0.0,640,1221,161,448,254,336,63,396,459,349,73,59,196,1695,F,LAL,0.0,30.267857142857142,8.196428571428571,6.232142857142857,1.3035714285714286,1.0535714285714286,3.5,2.875,0.5241605241605242,0.359375,0.7559523809523809
2021-22,2546,Carmelo Anthony,69,0.0,319,723,149,397,132,159,62,226,288,68,47,52,59,919,F,LAL,0.0,13.318840579710145,4.173913043478261,0.9855072463768116,0.6811594202898551,0.7536231884057971,0.855072463768116,2.1594202898550723,0.4412171507607192,0.37531486146095716,0.8301886792452831
2021-22,2617,Udonis Haslem,13,0.0,14,31,1,4,3,3,4,21,25,4,1,1,5,32,,MIA,0.0,2.4615384615384617,1.9230769230769231,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.45161290322580644,0.25,1.0
2021-22,2730,Dwight Howard,60,0.0,134,219,8,15,96,146,118,238,356,35,34,36,47,372,C,LAL,0.0,6.2,5.933333333333334,0.5833333333333334,0.5666666666666667,0.6,0.7833333333333333,0.13333333333333333,0.6118721461187214,0.5333333333333333,0.6575342465753424
2021-22,2738,Andre Iguodala,31,0.0,46,121,17,74,15,20,21,79,100,114,27,22,28,124,,GSW,0.0,4.0,3.225806451612903,3.6774193548387095,0.8709677419354839,0.7096774193548387,0.9032258064516129,0.5483870967741935,0.38016528925619836,0.22972972972972974,0.75
2021-22,2772,Trevor Ariza,24,0.0,33,99,20,74,10,18,10,72,82,27,13,6,11,96,F,LAL,0.0,4.0,3.4166666666666665,1.125,0.5416666666666666,0.25,0.4583333333333333,0.8333333333333334,0.3333333333333333,0.2702702702702703,0.5555555555555556
2021-22,101108,Chris Paul,65,0.0,363,736,63,199,169,202,22,261,283,702,121,20,153,958,G,PHX,0.0,14.738461538461538,4.3538461538461535,10.8,1.8615384615384616,0.3076923076923077,2.353846153846154,0.9692307692307692,0.49320652173913043,0.3165829145728643,0.8366336633663366
2021-22,101139,CJ Miles,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,101150,Lou Williams,56,0.0,125,320,37,102,67,78,16,71,87,105,28,3,43,354,,ATL,0.0,6.321428571428571,1.5535714285714286,1.875,0.5,0.05357142857142857,0.7678571428571429,0.6607142857142857,0.390625,0.3627450980392157,0.8589743589743589
