personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
1713,Vince Carter,58,SAC,0.403,0.757,0.983,5.397,2.552,1.19,0.724,0.448,0.621
1717,Dirk Nowitzki,77,DAL,0.456,0.898,1.792,12.039,5.688,1.558,0.558,0.584,0.662
1891,Jason Terry,51,MIL,0.383,0.889,0.784,3.255,0.941,1.157,0.824,0.255,0.49
1938,Manu Ginobili,65,SAS,0.434,0.84,0.985,8.862,2.185,2.508,0.662,0.246,1.615
2037,Jamal Crawford,80,MIN,0.415,0.903,1.3,10.275,1.238,2.312,0.5,0.112,1.188
2199,Tyson Chandler,46,PHX,0.647,0.624,0.0,6.522,9.087,1.152,0.348,0.587,1.283
2200,Pau Gasol,77,SAS,0.458,0.756,0.558,10.065,8.039,3.091,0.312,1.026,1.403
2207,Joe Johnson,55,"HOU, UTA",0.406,0.889,0.727,6.764,3.127,1.509,0.327,0.127,0.891
2210,Richard Jefferson,20,DEN,0.444,0.571,0.1,1.5,0.85,0.75,0.1,0.05,0.25
2216,Zach Randolph,59,SAC,0.473,0.785,0.864,14.525,6.729,2.153,0.712,0.169,1.966
2225,Tony Parker,55,SAS,0.459,0.705,0.182,7.655,1.727,3.545,0.509,0.018,1.236
2403,Nene Hilario,52,HOU,0.569,0.636,0.0,6.538,3.385,0.865,0.538,0.269,0.731
2544,LeBron James,82,CLE,0.542,0.731,1.817,27.451,8.646,9.11,1.415,0.866,4.232
2546,Carmelo Anthony,78,OKC,0.404,0.767,2.167,16.167,5.808,1.321,0.603,0.628,1.269
2548,Dwyane Wade,67,"CLE, MIA",0.438,0.714,0.478,11.418,3.761,3.403,0.91,0.701,2.09
2555,Nick Collison,15,OKC,0.684,0.385,0.0,2.067,1.333,0.267,0.0,0.0,0.467
2561,David West,73,GSW,0.571,0.759,0.041,6.781,3.26,1.89,0.644,1.027,1.096
