season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2017-18,1713,Vince Carter,58,0.0,114,283,57,165,28,37,18,130,148,69,42,26,36,313,G,SAC,0.0,5.396551724137931,2.5517241379310347,1.1896551724137931,0.7241379310344828,0.4482758620689655,0.6206896551724138,0.9827586206896551,0.4028268551236749,0.34545454545454546,0.7567567567567568
2017-18,1717,Dirk Nowitzki,77,0.0,346,758,138,337,97,108,22,416,438,120,43,45,51,927,C,DAL,0.0,12.03896103896104,5.688311688311688,1.5584415584415585,0.5584415584415584,0.5844155844155844,0.6623376623376623,1.7922077922077921,0.45646437994722955,0.4094955489614243,0.8981481481481481
2017-18,1891,Jason Terry,51,0.0,59,154,40,115,8,9,5,43,48,59,42,13,25,166,G,MIL,0.0,3.2549019607843137,0.9411764705882353,1.1568627450980393,0.8235294117647058,0.2549019607843137,0.49019607843137253,0.7843137254901961,0.38311688311688313,0.34782608695652173,0.8888888888888888
2017-18,1938,Manu Ginobili,65,0.0,201,463,64,192,110,131,19,123,142,163,43,16,105,576,,SAS,0.0,8.861538461538462,2.1846153846153844,2.5076923076923077,0.6615384615384615,0.24615384615384617,1.6153846153846154,0.9846153846153847,0.43412526997840173,0.3333333333333333,0.8396946564885496
2017-18,2037,Jamal Crawford,80,0.0,308,742,104,314,102,113,21,78,99,185,40,9,95,822,,MIN,0.0,10.275,1.2375,2.3125,0.5,0.1125,1.1875,1.3,0.41509433962264153,0.33121019108280253,0.9026548672566371
2017-18,2199,Tyson Chandler,46,0.0,121,187,0,0,58,93,134,284,418,53,16,27,59,300,C,PHX,0.0,6.521739130434782,9.08695652173913,1.1521739130434783,0.34782608695652173,0.5869565217391305,1.2826086956521738,0.0,0.6470588235294118,0.0,0.6236559139784946
2017-18,2200,Pau Gasol,77,0.0,287,627,43,120,158,209,129,490,619,238,24,79,108,775,C,SAS,0.0,10.064935064935066,8.03896103896104,3.090909090909091,0.3116883116883117,1.025974025974026,1.4025974025974026,0.5584415584415584,0.45773524720893144,0.35833333333333334,0.7559808612440191
2017-18,2207,Joe Johnson,55,0.0,146,360,40,145,40,45,14,158,172,83,18,7,49,372,G,"HOU, UTA",0.0,6.763636363636364,3.1272727272727274,1.509090909090909,0.32727272727272727,0.12727272727272726,0.8909090909090909,0.7272727272727273,0.40555555555555556,0.27586206896551724,0.8888888888888888
2017-18,2210,Richard Jefferson,20,0.0,12,27,2,7,4,7,2,15,17,15,2,1,5,30,,DEN,0.0,1.5,0.85,0.75,0.1,0.05,0.25,0.1,0.4444444444444444,0.2857142857142857,0.5714285714285714
2017-18,2216,Zach Randolph,59,0.0,361,763,51,147,84,107,97,300,397,127,42,10,116,857,F,SAC,0.0,14.525423728813559,6.728813559322034,2.152542372881356,0.711864406779661,0.1694915254237288,1.9661016949152543,0.864406779661017,0.47313237221494103,0.3469387755102041,0.7850467289719626
2017-18,2225,Tony Parker,55,0.0,178,388,10,37,55,78,7,88,95,195,28,1,68,421,G,SAS,0.0,7.654545454545454,1.7272727272727273,3.5454545454545454,0.509090909090909,0.01818181818181818,1.2363636363636363,0.18181818181818182,0.4587628865979381,0.2702702702702703,0.7051282051282052
2017-18,2403,Nene Hilario,52,0.0,136,239,0,2,68,107,54,122,176,45,28,14,38,340,C,HOU,0.0,6.538461538461538,3.3846153846153846,0.8653846153846154,0.5384615384615384,0.2692307692307692,0.7307692307692307,0.0,0.5690376569037657,0.0,0.6355140186915887
2017-18,2544,LeBron James,82,0.0,857,1580,149,406,388,531,97,612,709,747,116,71,347,2251,F,CLE,0.0,27.451219512195124,8.646341463414634,9.109756097560975,1.4146341463414633,0.8658536585365854,4.2317073170731705,1.8170731707317074,0.5424050632911392,0.3669950738916256,0.7306967984934086
2017-18,2546,Carmelo Anthony,78,0.0,472,1168,169,474,148,193,67,386,453,103,47,49,99,1261,F,OKC,0.0,16.166666666666668,5.8076923076923075,1.3205128205128205,0.6025641025641025,0.6282051282051282,1.2692307692307692,2.1666666666666665,0.4041095890410959,0.35654008438818563,0.7668393782383419
