season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2015-16,708,Kevin Garnett,38,0.0,54,115,0,1,14,21,15,135,150,62,28,10,16,122,F,MIN,0.0,3.210526315789474,3.9473684210526314,1.631578947368421,0.7368421052631579,0.2631578947368421,0.42105263157894735,0.0,0.46956521739130436,0.0,0.6666666666666666
2015-16,977,Kobe Bryant,66,0.0,398,1113,133,467,232,281,41,206,247,184,62,13,129,1161,F,LAL,0.0,17.59090909090909,3.742424242424242,2.787878787878788,0.9393939393939394,0.19696969696969696,1.9545454545454546,2.015151515151515,0.35759209344115006,0.284796573875803,0.8256227758007118
2015-16,1495,Tim Duncan,61,0.0,215,441,0,2,92,131,115,332,447,163,47,78,90,522,C,SAS,0.0,8.557377049180328,7.327868852459017,2.6721311475409837,0.7704918032786885,1.278688524590164,1.4754098360655739,0.0,0.4875283446712018,0.0,0.7022900763358778
2015-16,1713,Vince Carter,60,0.0,133,343,59,169,70,84,31,115,146,56,38,16,35,395,F,MEM,0.0,6.583333333333333,2.433333333333333,0.9333333333333333,0.6333333333333333,0.26666666666666666,0.5833333333333334,0.9833333333333333,0.3877551020408163,0.34911242603550297,0.8333333333333334
2015-16,1717,Dirk Nowitzki,75,0.0,498,1112,126,342,250,280,52,437,489,132,52,52,84,1372,F,DAL,0.0,18.293333333333333,6.52,1.76,0.6933333333333334,0.6933333333333334,1.12,1.68,0.447841726618705,0.3684210526315789,0.8928571428571429
2015-16,1718,Paul Pierce,68,0.0,144,397,75,242,54,66,12,174,186,71,33,17,58,417,F,LAC,0.0,6.132352941176471,2.735294117647059,1.0441176470588236,0.4852941176470588,0.25,0.8529411764705882,1.1029411764705883,0.36272040302267,0.30991735537190085,0.8181818181818182
2015-16,1737,Nazr Mohammed,5,0.0,3,5,0,0,2,2,1,3,4,0,0,0,3,8,,OKC,0.0,1.6,0.8,0.0,0.0,0.0,0.6,0.0,0.6,0.0,1.0
2015-16,1882,Elton Brand,17,0.0,31,72,0,1,8,9,9,54,63,18,9,8,11,70,C,PHI,0.0,4.117647058823529,3.7058823529411766,1.0588235294117647,0.5294117647058824,0.47058823529411764,0.6470588235294118,0.0,0.4305555555555556,0.0,0.8888888888888888
2015-16,1889,Andre Miller,39,0.0,59,106,2,8,24,32,12,39,51,87,16,0,37,144,G,"MIN, SAS",0.0,3.6923076923076925,1.3076923076923077,2.230769230769231,0.41025641025641024,0.0,0.9487179487179487,0.05128205128205128,0.5566037735849056,0.25,0.75
2015-16,1891,Jason Terry,72,0.0,151,376,93,261,27,33,14,65,79,103,47,9,49,422,G,HOU,0.0,5.861111111111111,1.0972222222222223,1.4305555555555556,0.6527777777777778,0.125,0.6805555555555556,1.2916666666666667,0.4015957446808511,0.3563218390804598,0.8181818181818182
