personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
708,Kevin Garnett,38,MIN,0.47,0.667,0.0,3.211,3.947,1.632,0.737,0.263,0.421
977,Kobe Bryant,66,LAL,0.358,0.826,2.015,17.591,3.742,2.788,0.939,0.197,1.955
1495,Tim Duncan,61,SAS,0.488,0.702,0.0,8.557,7.328,2.672,0.77,1.279,1.475
1713,Vince Carter,60,MEM,0.388,0.833,0.983,6.583,2.433,0.933,0.633,0.267,0.583
1717,Dirk Nowitzki,75,DAL,0.448,0.893,1.68,18.293,6.52,1.76,0.693,0.693,1.12
1718,Paul Pierce,68,LAC,0.363,0.818,1.103,6.132,2.735,1.044,0.485,0.25,0.853
1737,Nazr Mohammed,5,OKC,0.6,1.0,0.0,1.6,0.8,0.0,0.0,0.0,0.6
1882,Elton Brand,17,PHI,0.431,0.889,0.0,4.118,3.706,1.059,0.529,0.471,0.647
1889,Andre Miller,39,"MIN, SAS",0.557,0.75,0.051,3.692,1.308,2.231,0.41,0.0,0.949
1891,Jason Terry,72,HOU,0.402,0.818,1.292,5.861,1.097,1.431,0.653,0.125,0.681
1897,Metta World Peace,35,LAL,0.311,0.702,0.743,5.029,2.543,0.771,0.629,0.314,0.429
1938,Manu Ginobili,58,SAS,0.453,0.812,1.207,9.569,2.517,3.052,1.138,0.19,1.707
2034,Mike Miller,46,DEN,0.355,0.0,0.413,1.37,1.152,0.87,0.283,0.087,0.37
2037,Jamal Crawford,79,LAC,0.404,0.904,1.481,14.177,1.835,2.316,0.658,0.152,1.43
2199,Tyson Chandler,66,PHX,0.583,0.62,0.0,7.152,8.727,0.97,0.545,0.667,1.409
2200,Pau Gasol,72,CHI,0.469,0.792,0.333,16.486,11.014,4.083,0.583,2.028,2.278
2207,Joe Johnson,81,"BKN, MIA",0.439,0.831,1.481,12.247,3.605,3.926,0.753,0.049,1.963
2210,Richard Jefferson,74,CLE,0.458,0.667,0.892,5.541,1.73,0.797,0.446,0.189,0.581
2216,Zach Randolph,68,MEM,0.475,0.796,0.088,15.294,7.779,2.088,0.632,0.191,1.544
2225,Tony Parker,72,SAS,0.493,0.76,0.375,11.903,2.444,5.264,0.75,0.153,1.819
2365,Chris Andersen,27,"MEM, MIA",0.528,0.694,0.148,3.889,3.63,0.444,0.556,0.481,0.333
2399,Mike Dunleavy,31,CHI,0.41,0.784,1.258,7.161,2.677,1.258,0.452,0.323,0.839
2400,Drew Gooden,30,WAS,0.32,0.643,0.233,2.733,2.833,0.433,0.267,0.367,0.433
2403,Nene Hilario,57,WAS,0.544,0.578,0.0,9.211,4.544,1.702,0.947,0.456,1.333
2405,Amar'e Stoudemire,52,MIA,0.566,0.746,0.0,5.769,4.269,0.519,0.346,0.788,0.904
2406,Caron Butler,17,SAC,0.424,0.833,0.176,3.706,1.294,0.588,0.529,0.059,0.176
2419,Tayshaun Prince,77,MIN,0.445,0.684,0.052,2.87,1.909,0.961,0.468,0.169,0.351
2440,Matt Barnes,76,MEM,0.381,0.804,1.566,9.974,5.526,2.145,1.026,0.75,1.592
2446,Rasual Butler,46,SAS,0.471,0.688,0.326,2.696,1.217,0.522,0.283,0.5,0.174
2449,Luis Scola,76,TOR,0.45,0.726,0.855,8.737,4.737,0.868,0.605,0.355,0.895
2544,LeBron James,76,CLE,0.52,0.731,1.145,25.263,7.434,6.763,1.368,0.645,3.276
2546,Carmelo Anthony,72,NYK,0.434,0.829,1.458,21.847,7.722,4.153,0.861,0.528,2.444
2547,Chris Bosh,53,MIA,0.467,0.795,1.528,19.057,7.358,2.415,0.679,0.642,1.472
2548,Dwyane Wade,74,MIA,0.456,0.793,0.095,19.041,4.081,4.649,1.068,0.568,2.743
2549,Chris Kaman,16,POR,0.465,1.0,0.062,2.75,1.5,0.688,0.062,0.062,0.5
2550,Kirk Hinrich,46,"ATL, CHI",0.38,0.938,0.522,2.978,1.522,1.587,0.326,0.043,0.652
2555,Nick Collison,59,OKC,0.459,0.697,0.0,2.085,2.898,0.881,0.254,0.271,0.847
2561,David West,78,SAS,0.545,0.788,0.038,7.103,3.962,1.833,0.564,0.705,0.872
2563,Dahntay Jones,1,CLE,0.429,0.0,1.0,13.0,5.0,2.0,1.0,2.0,0.0
2564,Boris Diaw,76,SAS,0.527,0.737,0.329,6.382,3.066,2.316,0.342,0.276,1.276
2570,Kendrick Perkins,37,NOP,0.533,0.44,0.0,2.459,3.459,0.838,0.297,0.297,1.108
2571,Leandro Barbosa,68,GSW,0.462,0.839,0.574,6.368,1.721,1.206,0.647,0.147,0.779
2581,Steve Blake,58,DET,0.388,0.8,0.897,4.379,1.534,3.448,0.414,0.086,1.397
2585,Zaza Pachulia,76,DAL,0.466,0.768,0.0,8.553,9.447,1.684,0.842,0.289,1.566
2588,Matt Bonner,30,SAS,0.509,0.75,0.5,2.533,0.9,0.3,0.2,0.033,0.1
2590,Mo Williams,41,CLE,0.437,0.905,0.878,8.244,1.756,2.39,0.341,0.122,1.39
2592,James Jones,48,CLE,0.408,0.808,0.854,3.708,1.042,0.292,0.229,0.208,0.271
2594,Kyle Korver,80,ATL,0.434,0.833,1.975,9.238,3.25,2.05,0.75,0.438,1.225
2617,Udonis Haslem,37,MIA,0.377,0.75,0.027,1.595,2.027,0.378,0.135,0.054,0.135
2730,Dwight Howard,71,HOU,0.62,0.489,0.0,13.746,11.761,1.38,0.972,1.592,2.338
2733,Shaun Livingston,78,GSW,0.536,0.86,0.026,6.256,2.167,3.038,0.731,0.346,1.0
2734,Devin Harris,64,DAL,0.447,0.721,0.812,7.609,2.156,1.844,0.938,0.203,1.031
2736,Luol Deng,74,MIA,0.455,0.755,1.189,12.311,5.986,1.892,1.0,0.392,1.095
2738,Andre Iguodala,65,GSW,0.478,0.614,0.831,7.031,4.046,3.369,1.123,0.292,1.215
2743,Kris Humphries,53,"ATL, PHX, WAS",0.41,0.798,0.642,6.472,4.113,0.679,0.302,0.434,0.717
2744,Al Jefferson,47,CHA,0.485,0.649,0.0,11.957,6.404,1.489,0.638,0.872,0.723
2746,Josh Smith,55,"HOU, LAC",0.364,0.552,0.745,6.036,3.491,1.636,0.618,0.855,1.4
2747,JR Smith,77,CLE,0.415,0.634,2.649,12.403,2.818,1.688,1.052,0.273,0.766
2749,Jameer Nelson,39,DEN,0.368,0.857,1.103,7.667,2.949,4.872,0.641,0.128,1.692
2754,Tony Allen,64,MEM,0.458,0.652,0.234,8.359,4.625,1.094,1.719,0.281,1.219
2755,Kevin Martin,55,"MIN, SAS",0.372,0.89,0.891,9.345,2.0,1.055,0.473,0.055,0.982
2756,Sasha Vujacic,61,NYK,0.383,0.821,0.852,4.852,2.443,1.377,0.557,0.082,0.721
2757,Beno Udrih,44,"MEM, MIA",0.434,0.9,0.341,4.659,1.636,2.636,0.318,0.023,1.205
2760,Anderson Varejao,53,"CLE, GSW",0.427,0.64,0.0,2.604,2.66,0.66,0.302,0.189,0.415
2772,Trevor Ariza,81,HOU,0.416,0.783,2.284,12.654,4.519,2.321,1.975,0.321,1.395
101106,Andrew Bogut,70,GSW,0.627,0.48,0.014,5.357,7.029,2.314,0.471,1.629,1.186
101107,Marvin Williams,81,CHA,0.452,0.833,1.877,11.704,6.432,1.358,0.716,0.951,0.765
101108,Chris Paul,74,LAC,0.462,0.896,1.649,19.541,4.189,9.973,2.054,0.176,2.622
101109,Raymond Felton,80,DAL,0.406,0.847,0.75,9.538,3.225,3.55,0.85,0.188,1.512
101111,Charlie Villanueva,62,DAL,0.382,0.917,0.758,5.145,2.452,0.387,0.29,0.242,0.5
101112,Channing Frye,70,"CLE, ORL",0.438,0.857,1.3,6.071,3.343,1.014,0.414,0.4,0.614
101114,Deron Williams,65,DAL,0.414,0.869,1.492,14.123,2.923,5.815,0.938,0.215,2.308
101123,Gerald Green,69,MIA,0.392,0.783,1.217,8.928,2.362,0.812,0.551,0.275,0.667
101126,Nate Robinson,2,NOP,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0
101127,Jarrett Jack,32,BKN,0.391,0.893,0.969,12.844,4.25,7.375,1.062,0.219,2.938
101133,Ian Mahinmi,71,IND,0.589,0.587,0.0,9.296,7.141,1.465,0.915,1.056,1.408
101135,David Lee,55,"BOS, DAL",0.531,0.763,0.0,7.764,5.545,1.527,0.4,0.509,1.2
101138,Brandon Bass,66,LAL,0.549,0.845,0.0,7.167,4.318,1.121,0.5,0.833,0.636
101139,CJ Miles,64,IND,0.409,0.75,2.219,11.766,2.734,0.984,0.828,0.453,1.094
101141,Ersan Ilyasova,74,"DET, ORL",0.424,0.721,1.297,10.365,5.446,0.905,0.703,0.446,0.959
101145,Monta Ellis,81,IND,0.427,0.786,1.074,13.84,3.346,4.728,1.852,0.457,2.506
101150,Lou Williams,67,LAL,0.408,0.83,1.642,15.343,2.522,2.493,0.925,0.284,1.597
101161,Amir Johnson,79,BOS,0.585,0.57,0.127,7.304,6.392,1.747,0.658,1.051,1.19
101162,Marcin Gortat,75,WAS,0.567,0.705,0.0,13.493,9.88,1.413,0.627,1.28,1.613
101179,Ronnie Price,62,PHX,0.384,0.756,1.097,5.339,1.597,2.371,1.194,0.21,1.129
101181,Jose Calderon,72,NYK,0.459,0.875,1.167,7.556,3.181,4.139,0.875,0.097,1.208
101187,Alan Anderson,13,WAS,0.356,0.733,0.923,5.0,2.077,1.077,0.308,0.077,0.154
101236,Chuck Hayes,2,HOU,0.5,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.5
200745,Andrea Bargnani,46,BKN,0.455,0.825,0.065,6.609,2.109,0.391,0.087,0.196,0.565
200746,LaMarcus Aldridge,74,SAS,0.513,0.858,0.0,17.986,8.541,1.486,0.514,1.095,1.338
200751,Randy Foye,81,"DEN, OKC",0.351,0.824,0.926,5.852,1.926,1.988,0.481,0.358,1.062
200752,Rudy Gay,70,SAC,0.463,0.78,1.057,17.2,6.514,1.714,1.429,0.729,1.986
200755,JJ Redick,75,LAC,0.48,0.888,2.667,16.347,1.853,1.413,0.56,0.067,1.04
200757,Thabo Sefolosha,75,ATL,0.507,0.626,0.56,6.4,4.453,1.427,1.133,0.493,0.907
200765,Rajon Rondo,72,SAC,0.454,0.58,0.861,11.931,6.042,11.653,1.958,0.139,3.861
200768,Kyle Lowry,77,TOR,0.427,0.811,2.753,21.221,4.74,6.416,2.052,0.442,2.922
200770,Jordan Farmar,12,MEM,0.42,1.0,1.333,9.167,2.083,3.083,1.25,0.167,1.5
200779,Steve Novak,10,"MIL, OKC",0.444,1.0,0.7,2.4,0.5,0.0,0.0,0.0,0.1
200782,P.J. Tucker,82,PHX,0.411,0.746,0.829,7.951,6.244,2.159,1.293,0.244,1.354
