personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
255,Grant Hill,80,PHX,0.484,0.829,0.562,13.2,4.225,2.5,0.8,0.438,1.675
406,Shaquille O'Neal,37,BOS,0.667,0.557,0.0,9.216,4.811,0.703,0.432,1.135,1.514
436,Juwan Howard,57,MIA,0.44,0.829,0.0,2.439,2.14,0.404,0.175,0.07,0.439
467,Jason Kidd,80,DAL,0.361,0.87,1.662,7.875,4.388,8.188,1.675,0.362,2.238
686,Antonio McDyess,73,SAS,0.491,0.675,0.0,5.342,5.411,1.151,0.493,0.534,0.986
689,Theo Ratliff,10,LAL,0.167,0.0,0.0,0.2,1.3,0.3,0.2,0.5,0.3
693,Joe Smith,16,"NJN, LAL",0.188,1.0,0.0,0.5,1.312,0.25,0.0,0.25,0.312
703,Kurt Thomas,52,CHI,0.511,0.625,0.019,4.058,5.788,1.154,0.615,0.808,0.808
708,Kevin Garnett,71,BOS,0.528,0.862,0.014,14.873,8.887,2.408,1.338,0.803,1.62
711,Jerry Stackhouse,7,MIA,0.25,0.714,0.143,1.714,1.0,0.429,0.0,0.286,0.286
948,Marcus Camby,59,POR,0.398,0.614,0.0,4.695,10.271,2.051,0.678,1.559,1.051
951,Ray Allen,80,BOS,0.491,0.881,2.1,16.512,3.425,2.738,0.962,0.2,1.462
956,Erick Dampier,51,MIA,0.584,0.545,0.0,2.51,3.471,0.431,0.275,0.922,0.627
959,Steve Nash,75,PHX,0.492,0.912,1.08,14.747,3.467,11.4,0.64,0.053,3.533
965,Derek Fisher,82,LAL,0.389,0.806,0.768,6.805,1.854,2.732,1.207,0.098,0.854
977,Kobe Bryant,82,LAL,0.451,0.828,1.402,25.341,5.11,4.732,1.207,0.146,2.963
978,Peja Stojakovic,33,"DAL, NOH, TOR",0.441,0.92,1.727,8.485,2.273,0.879,0.394,0.061,0.515
979,Jermaine O'Neal,24,BOS,0.459,0.674,0.0,5.375,3.667,0.5,0.083,1.25,1.125
980,Zydrunas Ilgauskas,72,MIA,0.508,0.783,0.0,5.0,3.986,0.361,0.319,0.806,0.722
1112,Ben Wallace,54,DET,0.45,0.333,0.019,2.852,6.481,1.333,1.0,1.0,0.815
1495,Tim Duncan,76,SAS,0.5,0.716,0.0,13.447,8.921,2.671,0.658,1.921,1.605
1497,Chauncey Billups,72,"DEN, NYK",0.427,0.916,2.028,16.778,2.639,5.375,0.986,0.194,2.458
1498,Antonio Daniels,4,PHI,0.4,1.0,0.0,1.5,1.25,0.5,0.0,0.0,0.25
1499,Tony Battie,38,PHI,0.469,0.571,0.053,2.632,2.605,0.316,0.132,0.395,0.316
1503,Tracy McGrady,72,DET,0.442,0.698,0.417,7.972,3.486,3.5,0.917,0.472,1.417
1515,Anthony Parker,72,CLE,0.399,0.779,1.194,8.333,3.028,3.028,0.931,0.139,1.111
1536,Stephen Jackson,67,CHA,0.411,0.816,1.806,18.507,4.537,3.597,1.194,0.418,3.119
1710,Mike Bibby,80,"ATL, MIA, WAS",0.431,0.629,1.912,8.6,2.438,3.312,0.625,0.112,1.262
1712,Antawn Jamison,56,CLE,0.427,0.731,1.625,18.036,6.696,1.661,0.893,0.536,1.375
1713,Vince Carter,73,"ORL, PHX",0.437,0.74,1.589,14.0,3.767,2.0,0.918,0.274,1.233
1715,Jason Williams,27,"MEM, ORL",0.328,0.0,0.37,2.0,1.111,1.926,0.407,0.037,0.667
1717,Dirk Nowitzki,73,DAL,0.517,0.892,0.904,23.027,7.027,2.603,0.521,0.644,1.877
1718,Paul Pierce,80,BOS,0.497,0.86,1.388,18.888,5.375,3.25,1.0,0.638,2.138
1730,Brian Skinner,2,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733,Al Harrington,73,DEN,0.416,0.735,1.603,10.479,4.548,1.384,0.534,0.137,1.452
1737,Nazr Mohammed,75,"CHA, OKC",0.522,0.598,0.0,7.133,4.907,0.307,0.4,0.747,0.933
