personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
708,Kevin Garnett,54,BKN,0.441,0.809,0.0,6.519,6.63,1.519,0.796,0.741,1.278
951,Ray Allen,73,MIA,0.442,0.905,1.589,9.603,2.808,1.959,0.74,0.11,1.151
959,Steve Nash,15,LAL,0.383,0.917,0.533,6.8,1.933,5.733,0.467,0.133,2.067
965,Derek Fisher,81,OKC,0.391,0.775,1.086,5.247,1.506,1.444,0.864,0.037,0.605
977,Kobe Bryant,6,LAL,0.425,0.857,0.5,13.833,4.333,6.333,1.167,0.167,5.667
979,Jermaine O'Neal,44,GSW,0.504,0.75,0.0,7.932,5.5,0.568,0.318,0.909,1.182
1495,Tim Duncan,74,SAS,0.49,0.731,0.0,15.122,9.743,2.973,0.581,1.878,2.149
1497,Chauncey Billups,19,DET,0.304,0.833,0.737,3.789,1.474,2.211,0.421,0.053,1.316
1536,Stephen Jackson,9,LAC,0.231,0.5,0.111,1.667,1.111,0.556,0.667,0.111,0.667
1712,Antawn Jamison,22,LAC,0.315,0.72,0.364,3.818,2.5,0.318,0.409,0.136,0.318
1713,Vince Carter,81,DAL,0.407,0.821,1.802,11.938,3.506,2.617,0.753,0.432,1.333
1717,Dirk Nowitzki,80,DAL,0.497,0.899,1.638,21.688,6.225,2.7,0.912,0.562,1.462
1718,Paul Pierce,75,BKN,0.451,0.826,1.493,13.467,4.64,2.373,1.147,0.413,2.04
1733,Al Harrington,34,WAS,0.396,0.771,1.0,6.618,2.353,0.824,0.412,0.0,1.0
1737,Nazr Mohammed,80,CHI,0.429,0.533,0.0,1.55,2.188,0.25,0.175,0.375,0.462
1740,Rashard Lewis,60,MIA,0.415,0.788,0.767,4.467,1.833,0.95,0.883,0.133,0.583
1882,Elton Brand,73,ATL,0.539,0.649,0.0,5.74,4.945,1.014,0.548,1.205,0.822
1889,Andre Miller,58,"DEN, WAS",0.459,0.779,0.19,4.879,2.241,3.397,0.586,0.155,1.052
1890,Shawn Marion,76,DAL,0.482,0.785,0.763,10.408,6.539,1.632,1.184,0.487,1.25
1891,Jason Terry,35,BKN,0.362,0.667,1.114,4.543,1.057,1.6,0.371,0.0,0.771
1897,Metta World Peace,29,NYK,0.397,0.625,0.586,4.793,2.034,0.586,0.828,0.276,0.655
1905,Andrei Kirilenko,45,BKN,0.512,0.513,0.022,5.022,3.244,1.6,0.889,0.422,1.2
1938,Manu Ginobili,68,SAS,0.469,0.851,1.324,12.324,2.971,4.309,1.029,0.25,2.044
2030,Kenyon Martin,32,NYK,0.512,0.579,0.0,4.281,4.188,1.562,0.781,0.844,0.812
2034,Mike Miller,82,MEM,0.481,0.821,1.305,7.061,2.524,1.585,0.317,0.061,0.939
2037,Jamal Crawford,69,LAC,0.416,0.866,2.333,18.58,2.29,3.232,0.855,0.174,1.957
2045,Hedo Turkoglu,38,LAC,0.385,0.5,0.579,3.026,2.342,0.868,0.5,0.263,0.421
2199,Tyson Chandler,55,NYK,0.593,0.632,0.0,8.727,9.618,1.073,0.655,1.145,1.291
2200,Pau Gasol,60,LAL,0.48,0.736,0.067,17.35,9.667,3.35,0.45,1.533,2.35
2203,Shane Battier,73,MIA,0.382,0.652,1.0,4.082,1.89,0.863,0.685,0.534,0.288
2207,Joe Johnson,79,BKN,0.454,0.815,2.051,15.759,3.418,2.734,0.595,0.127,1.519
2210,Richard Jefferson,82,UTA,0.45,0.741,1.5,10.134,2.671,1.585,0.683,0.171,1.146
2215,Jason Collins,22,BKN,0.458,0.75,0.0,1.136,0.864,0.182,0.364,0.045,0.318
2216,Zach Randolph,79,MEM,0.467,0.742,0.025,17.367,10.063,2.532,0.684,0.291,2.316
2222,Gerald Wallace,58,BOS,0.504,0.465,0.328,5.138,3.655,2.466,1.259,0.241,1.672
2223,Samuel Dalembert,80,DAL,0.568,0.737,0.0,6.612,6.762,0.475,0.512,1.175,1.125
2224,Jamaal Tinsley,8,UTA,0.2,0.0,0.125,1.125,1.375,2.875,0.25,0.0,1.125
2225,Tony Parker,68,SAS,0.499,0.811,0.368,16.676,2.279,5.706,0.529,0.132,2.221
2229,Mike James,11,CHI,0.238,0.0,0.091,1.0,0.636,1.545,0.182,0.0,0.455
2248,Earl Watson,24,POR,0.273,1.0,0.083,0.5,0.625,1.167,0.208,0.042,0.708
2365,Chris Andersen,72,MIA,0.644,0.71,0.042,6.625,5.264,0.264,0.444,1.347,0.736
2399,Mike Dunleavy,82,CHI,0.43,0.854,1.5,11.329,4.207,2.268,0.78,0.561,1.317
2400,Drew Gooden,22,WAS,0.531,0.889,0.318,8.318,5.182,0.682,0.455,0.318,0.773
2403,Nene Hilario,53,WAS,0.503,0.583,0.019,14.226,5.547,2.887,1.208,0.887,2.208
2405,Amar'e Stoudemire,65,NYK,0.557,0.739,0.0,11.877,4.923,0.523,0.354,0.569,1.4
2406,Caron Butler,56,"MIL, OKC",0.394,0.84,1.75,10.482,4.089,1.464,0.839,0.304,1.071
2408,Melvin Ely,2,NOP,0.5,0.0,0.0,3.0,0.5,0.0,0.0,0.5,0.0
2419,Tayshaun Prince,76,MEM,0.407,0.567,0.263,5.974,3.079,1.566,0.513,0.25,0.539
2422,John Salmons,78,"SAC, TOR",0.363,0.769,0.808,5.167,2.09,1.885,0.603,0.244,0.692
2427,Roger Mason Jr.,25,MIA,0.373,1.0,0.68,2.96,0.88,0.76,0.24,0.04,0.36
2430,Carlos Boozer,76,CHI,0.456,0.767,0.0,13.711,8.316,1.553,0.697,0.289,2.026
2440,Matt Barnes,63,LAC,0.438,0.733,1.54,9.921,4.635,1.984,0.889,0.444,1.349
2446,Rasual Butler,50,IND,0.464,0.571,0.52,2.72,0.82,0.34,0.14,0.18,0.22
2449,Luis Scola,82,IND,0.47,0.728,0.012,7.634,4.768,0.988,0.317,0.195,1.317
2457,Jannero Pargo,29,CHA,0.441,0.727,0.828,4.69,0.69,1.793,0.483,0.034,0.897
2501,Reggie Evans,54,"BKN, SAC",0.473,0.554,0.0,3.963,6.185,0.389,0.685,0.056,1.074
2544,LeBron James,77,MIA,0.567,0.75,1.506,27.13,6.922,6.338,1.571,0.338,3.506
2546,Carmelo Anthony,77,NYK,0.452,0.848,2.169,27.429,8.078,3.143,1.234,0.662,2.571
2547,Chris Bosh,79,MIA,0.516,0.82,0.937,16.215,6.608,1.101,1.013,0.987,1.582
2548,Dwyane Wade,54,MIA,0.545,0.733,0.167,19.037,4.463,4.667,1.463,0.537,2.981
2549,Chris Kaman,39,LAL,0.509,0.765,0.0,10.359,5.872,1.487,0.282,1.026,1.897
2550,Kirk Hinrich,73,CHI,0.393,0.76,1.164,9.123,2.63,3.918,1.096,0.356,1.644
2555,Nick Collison,81,OKC,0.556,0.71,0.049,4.173,3.617,1.284,0.37,0.346,0.877
2557,Luke Ridnour,61,"CHA, MIL",0.385,0.654,0.607,5.016,1.59,2.885,0.525,0.131,1.082
2561,David West,80,IND,0.488,0.789,0.05,13.975,6.775,2.788,0.762,0.925,1.662
2564,Boris Diaw,79,SAS,0.521,0.739,0.57,9.076,4.127,2.81,0.557,0.405,1.532
2566,Travis Outlaw,63,SAC,0.399,0.808,0.651,5.444,2.667,0.762,0.317,0.302,0.413
2570,Kendrick Perkins,62,OKC,0.451,0.552,0.0,3.403,4.919,1.081,0.419,0.516,1.452
2571,Leandro Barbosa,20,PHX,0.427,0.795,0.35,7.5,1.85,1.6,0.35,0.2,0.95
2581,Steve Blake,55,"GSW, LAL",0.377,0.767,1.436,6.873,2.891,5.582,0.982,0.145,1.855
2584,Willie Green,55,LAC,0.376,0.824,0.745,4.964,1.418,0.909,0.4,0.2,0.618
2585,Zaza Pachulia,53,MIL,0.427,0.846,0.0,7.698,6.283,2.566,0.849,0.264,1.736
2586,Keith Bogans,6,BOS,0.5,1.0,0.5,2.0,0.5,0.5,0.167,0.0,0.167
2588,Matt Bonner,61,SAS,0.445,0.75,0.689,3.23,2.131,0.508,0.246,0.18,0.262
2590,Mo Williams,74,POR,0.417,0.876,1.122,9.743,2.068,4.338,0.743,0.135,2.014
2592,James Jones,20,MIA,0.456,0.636,1.4,4.85,1.15,0.45,0.15,0.2,0.2
2594,Kyle Korver,71,ATL,0.475,0.926,2.606,11.972,3.972,2.93,0.986,0.338,1.437
2617,Udonis Haslem,46,MIA,0.507,0.568,0.0,3.761,3.804,0.283,0.239,0.326,0.522
2694,Josh Powell,1,HOU,0.333,0.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0
2730,Dwight Howard,71,HOU,0.591,0.547,0.028,18.268,12.197,1.845,0.845,1.803,3.225
2732,Ben Gordon,19,CHA,0.343,0.81,0.421,5.211,1.421,1.105,0.526,0.105,1.105
2733,Shaun Livingston,76,BKN,0.483,0.827,0.013,8.276,3.237,3.224,1.224,0.408,1.382
2734,Devin Harris,40,DAL,0.378,0.8,0.775,7.875,2.125,4.45,0.7,0.05,1.475
2735,Josh Childress,4,NOP,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.0,0.25
2736,Luol Deng,63,"CHI, CLE",0.431,0.791,0.905,16.048,5.73,2.905,0.984,0.143,1.81
2738,Andre Iguodala,63,GSW,0.48,0.652,0.984,9.333,4.651,4.175,1.508,0.286,1.587
2740,Andris Biedrins,6,UTA,1.0,0.167,0.0,0.5,2.833,0.0,0.0,0.0,0.333
2743,Kris Humphries,69,BOS,0.501,0.812,0.0,8.391,5.928,0.971,0.449,0.884,0.928
2744,Al Jefferson,73,CHA,0.509,0.69,0.041,21.836,10.849,2.123,0.918,1.082,1.699
2746,Josh Smith,77,DET,0.419,0.532,0.909,16.416,6.753,3.273,1.364,1.429,2.584
2747,JR Smith,74,NYK,0.415,0.652,2.554,14.473,4.0,2.959,0.878,0.27,1.459
2748,Dorell Wright,68,POR,0.374,0.754,1.015,5.044,2.809,0.941,0.338,0.235,0.574
2749,Jameer Nelson,68,ORL,0.394,0.857,2.0,12.059,3.397,7.0,0.765,0.074,2.441
2754,Tony Allen,55,MEM,0.494,0.628,0.2,9.0,3.782,1.709,1.636,0.345,1.636
2755,Kevin Martin,68,MIN,0.43,0.891,1.691,19.088,2.985,1.779,0.971,0.088,1.559
2756,Sasha Vujacic,2,LAC,0.4,0.0,0.5,2.5,1.5,0.0,0.5,0.0,1.5
2757,Beno Udrih,41,"MEM, NYK",0.438,0.833,0.463,4.878,1.439,2.829,0.561,0.098,1.146
2760,Anderson Varejao,65,CLE,0.495,0.681,0.0,8.4,9.677,2.154,1.062,0.6,1.108
2767,Royal Ivey,2,OKC,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2772,Trevor Ariza,77,WAS,0.456,0.772,2.338,14.377,6.169,2.481,1.636,0.26,1.714
101106,Andrew Bogut,67,GSW,0.627,0.344,0.0,7.343,10.015,1.672,0.701,1.806,1.448
101107,Marvin Williams,66,UTA,0.439,0.781,1.273,9.136,5.061,1.182,0.818,0.47,0.803
101108,Chris Paul,62,LAC,0.467,0.855,1.258,19.113,4.323,10.694,2.484,0.065,2.339
101109,Raymond Felton,65,NYK,0.395,0.721,0.954,9.692,3.031,5.615,1.2,0.415,1.985
101110,Martell Webster,78,WAS,0.433,0.84,1.872,9.731,2.846,1.244,0.526,0.192,0.744
