season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2013-14,708,Kevin Garnett,54,0.0,157,356,0,3,38,47,60,298,358,82,43,40,69,352,C,BKN,0.0,6.518518518518518,6.62962962962963,1.5185185185185186,0.7962962962962963,0.7407407407407407,1.2777777777777777,0.0,0.4410112359550562,0.0,0.8085106382978723
2013-14,951,Ray Allen,73,0.0,240,543,116,309,105,116,23,182,205,143,54,8,84,701,G,MIA,0.0,9.602739726027398,2.808219178082192,1.9589041095890412,0.7397260273972602,0.1095890410958904,1.1506849315068493,1.5890410958904109,0.4419889502762431,0.37540453074433655,0.9051724137931034
2013-14,959,Steve Nash,15,0.0,36,94,8,24,22,24,4,25,29,86,7,2,31,102,G,LAL,0.0,6.8,1.9333333333333333,5.733333333333333,0.4666666666666667,0.13333333333333333,2.066666666666667,0.5333333333333333,0.3829787234042553,0.3333333333333333,0.9166666666666666
2013-14,965,Derek Fisher,81,0.0,141,361,88,229,55,71,12,110,122,117,70,3,49,425,,OKC,0.0,5.246913580246914,1.5061728395061729,1.4444444444444444,0.8641975308641975,0.037037037037037035,0.6049382716049383,1.0864197530864197,0.39058171745152354,0.38427947598253276,0.7746478873239436
2013-14,977,Kobe Bryant,6,0.0,31,73,3,16,18,21,2,24,26,38,7,1,34,83,G,LAL,0.0,13.833333333333334,4.333333333333333,6.333333333333333,1.1666666666666667,0.16666666666666666,5.666666666666667,0.5,0.4246575342465753,0.1875,0.8571428571428571
2013-14,979,Jermaine O'Neal,44,0.0,125,248,0,0,99,132,85,157,242,25,14,40,52,349,C,GSW,0.0,7.931818181818182,5.5,0.5681818181818182,0.3181818181818182,0.9090909090909091,1.1818181818181819,0.0,0.5040322580645161,0.0,0.75
2013-14,1495,Tim Duncan,74,0.0,444,906,0,5,231,316,158,563,721,220,43,139,159,1119,F,SAS,0.0,15.121621621621621,9.743243243243244,2.972972972972973,0.581081081081081,1.8783783783783783,2.1486486486486487,0.0,0.4900662251655629,0.0,0.7310126582278481
2013-14,1497,Chauncey Billups,19,0.0,24,79,14,48,10,12,4,24,28,42,8,1,25,72,G,DET,0.0,3.789473684210526,1.4736842105263157,2.210526315789474,0.42105263157894735,0.05263157894736842,1.3157894736842106,0.7368421052631579,0.3037974683544304,0.2916666666666667,0.8333333333333334
2013-14,1536,Stephen Jackson,9,0.0,6,26,1,14,2,4,2,8,10,5,6,1,6,15,,LAC,0.0,1.6666666666666667,1.1111111111111112,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.23076923076923078,0.07142857142857142,0.5
2013-14,1712,Antawn Jamison,22,0.0,29,92,8,41,18,25,9,46,55,7,9,3,7,84,,LAC,0.0,3.8181818181818183,2.5,0.3181818181818182,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.36363636363636365,0.31521739130434784,0.1951219512195122,0.72
