personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
255,Grant Hill,49,PHX,0.446,0.761,0.286,10.184,3.49,2.184,0.837,0.592,1.327
436,Juwan Howard,28,MIA,0.309,0.8,0.0,1.5,1.679,0.357,0.143,0.036,0.714
467,Jason Kidd,48,DAL,0.363,0.786,1.646,6.229,4.125,5.5,1.708,0.208,1.896
703,Kurt Thomas,53,POR,0.465,0.7,0.0,3.019,3.547,0.868,0.453,0.585,0.585
708,Kevin Garnett,60,BOS,0.503,0.857,0.05,15.783,8.233,2.917,0.933,1.017,1.783
711,Jerry Stackhouse,30,ATL,0.37,0.913,0.433,3.6,0.767,0.467,0.333,0.1,0.433
948,Marcus Camby,59,"HOU, POR",0.446,0.453,0.034,4.864,8.983,1.814,0.847,1.441,0.966
951,Ray Allen,46,BOS,0.458,0.915,2.304,14.239,3.087,2.37,1.065,0.174,1.478
956,Erick Dampier,15,ATL,0.125,0.0,0.0,0.133,1.667,0.267,0.067,0.267,0.2
959,Steve Nash,62,PHX,0.532,0.894,0.887,12.452,3.0,10.71,0.613,0.129,3.694
965,Derek Fisher,63,"LAL, OKC",0.371,0.851,0.556,5.556,1.921,2.698,0.81,0.063,1.159
977,Kobe Bryant,58,LAL,0.43,0.845,1.5,27.862,5.397,4.552,1.19,0.31,3.517
979,Jermaine O'Neal,25,BOS,0.433,0.677,0.0,5.0,5.4,0.4,0.32,1.72,0.84
1112,Ben Wallace,62,DET,0.395,0.34,0.016,1.371,4.339,0.694,0.758,0.823,0.548
1495,Tim Duncan,58,SAS,0.492,0.695,0.0,15.431,8.966,2.276,0.655,1.517,1.672
1497,Chauncey Billups,20,LAC,0.364,0.895,2.4,14.95,2.5,4.0,0.45,0.15,1.9
1499,Tony Battie,27,PHI,0.373,1.0,0.0,1.556,2.481,0.593,0.148,0.222,0.148
1503,Tracy McGrady,52,ATL,0.437,0.675,0.288,5.25,2.962,2.115,0.308,0.288,1.019
1515,Anthony Parker,51,CLE,0.433,0.625,0.98,7.196,2.706,2.353,0.745,0.137,0.98
1536,Stephen Jackson,47,"MIL, SAS",0.374,0.825,1.043,9.809,3.468,2.511,1.149,0.277,2.191
1630,Mikki Moore,7,GSW,0.45,0.857,0.0,3.429,3.143,0.714,0.429,0.429,1.0
1710,Mike Bibby,39,NYK,0.282,0.75,0.692,2.641,1.513,2.051,0.538,0.077,0.513
1712,Antawn Jamison,65,CLE,0.403,0.683,1.4,17.2,6.277,2.015,0.785,0.662,1.385
1713,Vince Carter,61,DAL,0.411,0.826,1.213,10.082,3.361,2.279,0.918,0.41,1.377
1716,Larry Hughes,9,ORL,0.227,0.5,0.111,1.333,0.556,0.778,0.222,0.0,1.333
1717,Dirk Nowitzki,62,DAL,0.457,0.896,1.258,21.645,6.742,2.194,0.677,0.484,1.887
1718,Paul Pierce,61,BOS,0.443,0.852,1.639,19.361,5.197,4.492,1.148,0.426,2.836
1730,Brian Skinner,1,MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1733,Al Harrington,64,DEN,0.446,0.676,1.578,14.219,6.094,1.375,0.906,0.188,1.75
1737,Nazr Mohammed,63,OKC,0.467,0.565,0.0,2.714,2.698,0.222,0.317,0.587,0.413
1740,Rashard Lewis,28,WAS,0.385,0.838,0.571,7.75,3.893,0.964,0.821,0.357,1.143
1802,Brad Miller,15,MIN,0.333,0.833,0.467,2.333,1.267,1.6,0.267,0.133,0.8
1853,Anthony Carter,24,TOR,0.321,0.8,0.208,1.958,1.375,1.417,0.333,0.167,0.708
1863,Earl Boykins,8,HOU,0.333,0.867,0.25,4.875,1.375,2.125,0.125,0.0,0.875
1882,Elton Brand,60,PHI,0.494,0.733,0.0,10.983,7.15,1.617,0.967,1.617,1.083
1884,Baron Davis,29,NYK,0.37,0.667,0.897,6.138,1.931,4.655,1.172,0.103,2.621
1885,Lamar Odom,50,DAL,0.352,0.592,0.56,6.64,4.16,1.66,0.4,0.36,1.04
1888,Richard Hamilton,28,CHI,0.452,0.784,0.607,11.643,2.357,3.0,0.429,0.036,1.75
1889,Andre Miller,66,DEN,0.438,0.811,0.273,9.682,3.348,6.682,0.955,0.136,2.682
1890,Shawn Marion,63,DAL,0.446,0.796,0.317,10.635,7.381,2.095,1.063,0.571,1.556
1891,Jason Terry,63,DAL,0.43,0.883,2.19,15.079,2.365,3.587,1.159,0.175,2.016
1894,Corey Maggette,32,CHA,0.373,0.856,0.75,15.0,3.906,1.219,0.719,0.031,1.844
1897,Metta World Peace,64,LAL,0.394,0.617,0.875,7.703,3.406,2.188,1.078,0.422,1.078
1902,Jeff Foster,11,IND,0.5,0.667,0.091,2.273,3.818,0.364,0.727,0.091,0.636
1922,Francisco Elson,5,PHI,0.333,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.2
1938,Manu Ginobili,34,SAS,0.526,0.871,1.529,12.941,3.412,4.441,0.706,0.353,1.882
1952,Raja Bell,34,UTA,0.466,0.84,1.0,6.382,1.441,1.118,0.382,0.059,0.618
2030,Kenyon Martin,42,LAC,0.441,0.37,0.071,5.167,4.31,0.429,1.048,1.024,0.762
2034,Mike Miller,39,MIA,0.435,0.4,1.359,6.077,3.282,1.077,0.359,0.154,0.769
2037,Jamal Crawford,60,POR,0.384,0.927,1.333,13.95,1.967,3.183,0.917,0.233,1.85
2038,Joel Przybilla,27,POR,0.458,0.611,0.0,2.037,5.111,0.222,0.148,0.593,0.815
2039,Keyon Dooling,46,BOS,0.405,0.742,0.587,3.957,0.848,1.109,0.283,0.043,0.739
2045,Hedo Turkoglu,53,ORL,0.415,0.705,1.717,10.868,3.755,4.396,0.849,0.321,2.679
2047,Quentin Richardson,48,ORL,0.376,0.833,0.875,4.479,2.562,0.792,0.583,0.125,0.604
2048,Jamaal Magloire,34,TOR,0.378,0.259,0.0,1.206,3.324,0.176,0.118,0.294,0.647
2052,DeShawn Stevenson,51,NJN,0.285,0.562,0.804,2.902,1.98,0.804,0.373,0.078,0.373
2059,Eduardo Najera,22,CHA,0.375,0.5,0.364,2.636,2.273,0.545,0.864,0.182,0.318
2072,Michael Redd,51,PHX,0.4,0.793,0.824,8.196,1.51,0.647,0.255,0.0,0.725
2073,Brian Cardinal,44,DAL,0.255,0.833,0.227,0.977,0.773,0.364,0.182,0.045,0.182
2198,Kwame Brown,9,GSW,0.525,0.441,0.0,6.333,6.333,0.444,0.889,0.0,1.556
2199,Tyson Chandler,62,NYK,0.679,0.689,0.0,11.274,9.871,0.903,0.903,1.435,1.645
2200,Pau Gasol,65,LAL,0.501,0.782,0.108,17.369,10.431,3.646,0.569,1.354,2.185
2201,Eddy Curry,14,MIA,0.462,0.75,0.0,2.143,0.857,0.071,0.0,0.143,0.714
2202,Jason Richardson,54,ORL,0.408,0.594,1.889,11.648,3.593,1.981,0.981,0.407,1.111
2203,Shane Battier,65,MIA,0.387,0.622,0.954,4.785,2.4,1.262,0.985,0.508,0.569
2205,DeSagana Diop,27,CHA,0.357,0.167,0.0,1.148,3.148,0.852,0.222,0.481,0.704
2207,Joe Johnson,60,ATL,0.454,0.849,2.083,18.817,3.683,3.867,0.8,0.217,1.933
2209,Vladimir Radmanovic,49,ATL,0.376,0.759,1.02,4.49,2.918,1.102,0.429,0.306,0.714
2210,Richard Jefferson,63,"GSW, SAS",0.416,0.694,1.794,9.175,3.476,1.397,0.587,0.302,0.794
2211,Troy Murphy,59,LAL,0.45,0.667,0.475,3.186,3.237,0.864,0.254,0.271,0.441
