personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
1713,Vince Carter,73,MEM,0.394,0.765,1.534,8.027,3.11,1.822,0.822,0.493,0.685
1717,Dirk Nowitzki,54,DAL,0.437,0.875,1.463,14.241,6.537,1.519,0.556,0.704,0.944
1718,Paul Pierce,25,LAC,0.4,0.769,0.6,3.24,1.92,0.4,0.16,0.2,0.64
1891,Jason Terry,74,MIL,0.432,0.828,0.986,4.149,1.432,1.324,0.622,0.27,0.486
1897,Metta World Peace,25,LAL,0.279,0.625,0.36,2.28,0.8,0.44,0.4,0.08,0.28
1938,Manu Ginobili,69,SAS,0.39,0.804,1.29,7.493,2.275,2.652,1.188,0.232,1.391
2034,Mike Miller,20,DEN,0.391,1.0,0.4,1.4,1.9,1.1,0.1,0.0,0.65
2037,Jamal Crawford,82,LAC,0.413,0.857,1.415,12.293,1.573,2.61,0.744,0.171,1.634
2199,Tyson Chandler,47,PHX,0.671,0.734,0.0,8.447,11.468,0.638,0.702,0.511,1.383
2200,Pau Gasol,64,SAS,0.502,0.707,0.875,12.375,7.828,2.344,0.375,1.094,1.266
2207,Joe Johnson,78,UTA,0.436,0.818,1.359,9.167,3.115,1.846,0.462,0.231,0.885
2210,Richard Jefferson,79,CLE,0.446,0.741,0.785,5.671,2.57,0.987,0.329,0.127,0.658
2216,Zach Randolph,73,MEM,0.449,0.731,0.288,14.082,8.192,1.671,0.521,0.137,1.356
2225,Tony Parker,63,SAS,0.466,0.726,0.365,10.127,1.794,4.524,0.54,0.032,1.413
2365,Chris Andersen,12,CLE,0.409,0.714,0.0,2.333,2.583,0.417,0.417,0.583,0.417
2399,Mike Dunleavy,53,"ATL, CLE",0.423,0.8,1.0,5.189,2.17,0.943,0.283,0.132,0.528
2403,Nene Hilario,67,HOU,0.617,0.589,0.045,9.09,4.209,0.97,0.836,0.582,1.09
2440,Matt Barnes,74,"GSW, SAC",0.391,0.787,1.176,7.122,5.189,2.635,0.649,0.351,1.446
2449,Luis Scola,36,BKN,0.47,0.676,0.472,5.111,3.861,1.028,0.389,0.111,0.944
2544,LeBron James,74,CLE,0.548,0.674,1.676,26.405,8.635,8.73,1.243,0.595,4.095
2546,Carmelo Anthony,74,NYK,0.433,0.833,2.041,22.419,5.919,2.878,0.811,0.459,2.068
2548,Dwyane Wade,60,CHI,0.434,0.794,0.75,18.267,4.5,3.8,1.433,0.683,2.3
2555,Nick Collison,20,OKC,0.609,0.625,0.0,1.65,1.55,0.6,0.1,0.1,0.2
2561,David West,68,GSW,0.536,0.768,0.044,4.647,2.985,2.221,0.618,0.706,1.147
2563,Dahntay Jones,1,CLE,0.375,0.75,0.0,9.0,2.0,1.0,0.0,0.0,1.0
2564,Boris Diaw,73,UTA,0.446,0.743,0.274,4.63,2.164,2.329,0.247,0.123,1.192
2571,Leandro Barbosa,67,PHX,0.439,0.889,0.522,6.254,1.552,1.209,0.463,0.119,0.716
2585,Zaza Pachulia,70,GSW,0.534,0.778,0.0,6.086,5.857,1.886,0.843,0.471,1.243
2592,James Jones,48,CLE,0.478,0.65,0.646,2.75,0.771,0.292,0.125,0.208,0.208
2594,Kyle Korver,67,"ATL, CLE",0.464,0.905,2.418,10.119,2.776,1.642,0.507,0.313,1.03
2617,Udonis Haslem,16,MIA,0.478,0.6,0.0,1.938,2.25,0.375,0.375,0.062,0.5
2730,Dwight Howard,74,ATL,0.633,0.533,0.0,13.541,12.703,1.405,0.865,1.243,2.297
2733,Shaun Livingston,76,GSW,0.547,0.7,0.013,5.118,1.987,1.829,0.5,0.263,0.816
