season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2018-19,1713,Vince Carter,76,0.0,196,468,123,316,47,66,31,163,194,87,44,27,48,562,F,ATL,0.0,7.394736842105263,2.5526315789473686,1.144736842105263,0.5789473684210527,0.35526315789473684,0.631578947368421,1.618421052631579,0.4188034188034188,0.38924050632911394,0.7121212121212122
2018-19,1717,Dirk Nowitzki,51,0.0,135,376,64,205,39,50,5,153,158,35,9,18,18,373,F,DAL,0.0,7.313725490196078,3.0980392156862746,0.6862745098039216,0.17647058823529413,0.35294117647058826,0.35294117647058826,1.2549019607843137,0.35904255319148937,0.3121951219512195,0.78
2018-19,2037,Jamal Crawford,64,0.0,174,438,67,202,93,110,8,77,85,229,33,12,99,508,,PHX,0.0,7.9375,1.328125,3.578125,0.515625,0.1875,1.546875,1.046875,0.3972602739726027,0.3316831683168317,0.8454545454545455
2018-19,2199,Tyson Chandler,55,0.0,61,99,0,1,51,87,92,215,307,37,21,23,42,173,C,"LAL, PHX",0.0,3.1454545454545455,5.581818181818182,0.6727272727272727,0.38181818181818183,0.41818181818181815,0.7636363636363637,0.0,0.6161616161616161,0.0,0.5862068965517241
2018-19,2200,Pau Gasol,30,0.0,42,94,6,13,28,40,22,115,137,52,5,15,16,118,C,"MIL, SAS",0.0,3.933333333333333,4.566666666666666,1.7333333333333334,0.16666666666666666,0.5,0.5333333333333333,0.2,0.44680851063829785,0.46153846153846156,0.7
2018-19,2225,Tony Parker,56,0.0,213,463,13,51,91,124,14,69,83,207,21,7,75,530,,CHA,0.0,9.464285714285714,1.4821428571428572,3.6964285714285716,0.375,0.125,1.3392857142857142,0.23214285714285715,0.46004319654427644,0.2549019607843137,0.7338709677419355
2018-19,2403,Nene Hilario,42,0.0,60,116,0,3,31,47,34,89,123,26,18,15,11,151,C,HOU,0.0,3.5952380952380953,2.9285714285714284,0.6190476190476191,0.42857142857142855,0.35714285714285715,0.2619047619047619,0.0,0.5172413793103449,0.0,0.6595744680851063
2018-19,2544,LeBron James,55,0.0,558,1095,111,327,278,418,57,408,465,454,72,33,197,1505,F,LAL,0.0,27.363636363636363,8.454545454545455,8.254545454545454,1.309090909090909,0.6,3.581818181818182,2.018181818181818,0.5095890410958904,0.3394495412844037,0.6650717703349283
2018-19,2546,Carmelo Anthony,10,0.0,49,121,21,64,15,22,9,45,54,5,4,7,8,134,F,HOU,0.0,13.4,5.4,0.5,0.4,0.7,0.8,2.1,0.4049586776859504,0.328125,0.6818181818181818
2018-19,2548,Dwyane Wade,72,0.0,416,960,86,261,165,233,69,216,285,301,59,38,166,1083,G,MIA,0.0,15.041666666666666,3.9583333333333335,4.180555555555555,0.8194444444444444,0.5277777777777778,2.3055555555555554,1.1944444444444444,0.43333333333333335,0.32950191570881227,0.7081545064377682
2018-19,2585,Zaza Pachulia,68,0.0,85,193,0,4,97,124,99,166,265,91,31,17,57,267,C,DET,0.0,3.926470588235294,3.8970588235294117,1.338235294117647,0.45588235294117646,0.25,0.8382352941176471,0.0,0.44041450777202074,0.0,0.782258064516129
2018-19,2594,Kyle Korver,70,0.0,201,483,138,348,60,73,9,153,162,81,25,12,59,600,,"CLE, UTA",0.0,8.571428571428571,2.3142857142857145,1.1571428571428573,0.35714285714285715,0.17142857142857143,0.8428571428571429,1.9714285714285715,0.4161490683229814,0.39655172413793105,0.821917808219178
2018-19,2617,Udonis Haslem,10,0.0,11,33,0,12,3,4,3,24,27,2,0,0,3,25,C,MIA,0.0,2.5,2.7,0.2,0.0,0.0,0.3,0.0,0.3333333333333333,0.0,0.75
2018-19,2730,Dwight Howard,9,0.0,43,69,0,0,29,48,24,59,83,4,7,4,16,115,C,WAS,0.0,12.777777777777779,9.222222222222221,0.4444444444444444,0.7777777777777778,0.4444444444444444,1.7777777777777777,0.0,0.6231884057971014,0.0,0.6041666666666666
2018-19,2733,Shaun Livingston,64,0.0,109,210,0,2,40,51,42,75,117,114,31,27,38,258,,GSW,0.0,4.03125,1.828125,1.78125,0.484375,0.421875,0.59375,0.0,0.5190476190476191,0.0,0.7843137254901961
2018-19,2734,Devin Harris,68,0.0,132,347,62,200,102,134,12,100,112,122,35,16,56,428,G,DAL,0.0,6.294117647058823,1.6470588235294117,1.7941176470588236,0.5147058823529411,0.23529411764705882,0.8235294117647058,0.9117647058823529,0.3804034582132565,0.31,0.7611940298507462
2018-19,2736,Luol Deng,22,0.0,59,118,14,44,25,35,20,53,73,18,15,8,14,157,F,MIN,0.0,7.136363636363637,3.3181818181818183,0.8181818181818182,0.6818181818181818,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.5,0.3181818181818182,0.7142857142857143
2018-19,2738,Andre Iguodala,68,0.0,151,302,48,144,39,67,48,204,252,216,61,51,52,389,F,GSW,0.0,5.720588235294118,3.7058823529411766,3.176470588235294,0.8970588235294118,0.75,0.7647058823529411,0.7058823529411765,0.5,0.3333333333333333,0.582089552238806
2018-19,2747,JR Smith,11,0.0,27,79,12,39,8,10,0,18,18,21,11,3,11,74,F,CLE,0.0,6.7272727272727275,1.6363636363636365,1.9090909090909092,1.0,0.2727272727272727,1.0,1.0909090909090908,0.34177215189873417,0.3076923076923077,0.8
2018-19,2772,Trevor Ariza,69,0.0,294,736,145,434,130,164,50,321,371,252,91,21,106,863,F,"PHX, WAS",0.0,12.507246376811594,5.3768115942028984,3.652173913043478,1.318840579710145,0.30434782608695654,1.536231884057971,2.101449275362319,0.39945652173913043,0.33410138248847926,0.7926829268292683
2018-19,101106,Andrew Bogut,11,0.0,18,36,0,0,3,3,12,43,55,11,3,8,8,39,C,GSW,0.0,3.5454545454545454,5.0,1.0,0.2727272727272727,0.7272727272727273,0.7272727272727273,0.0,0.5,0.0,1.0
2018-19,101107,Marvin Williams,75,0.0,275,652,140,382,66,86,76,331,407,92,71,61,47,756,F,CHA,0.0,10.08,5.426666666666667,1.2266666666666666,0.9466666666666667,0.8133333333333334,0.6266666666666667,1.8666666666666667,0.4217791411042945,0.36649214659685864,0.7674418604651163
2018-19,101108,Chris Paul,58,0.0,302,720,127,355,175,203,36,229,265,473,114,18,152,906,G,HOU,0.0,15.620689655172415,4.568965517241379,8.155172413793103,1.9655172413793103,0.3103448275862069,2.6206896551724137,2.189655172413793,0.41944444444444445,0.35774647887323946,0.8620689655172413
2018-19,101109,Raymond Felton,33,0.0,55,135,20,61,12,13,4,30,34,52,10,6,14,142,,OKC,0.0,4.303030303030303,1.0303030303030303,1.5757575757575757,0.30303030303030304,0.18181818181818182,0.42424242424242425,0.6060606060606061,0.4074074074074074,0.32786885245901637,0.9230769230769231
2018-19,101112,Channing Frye,36,0.0,43,117,32,79,11,14,4,48,52,20,6,5,13,129,C,CLE,0.0,3.5833333333333335,1.4444444444444444,0.5555555555555556,0.16666666666666666,0.1388888888888889,0.3611111111111111,0.8888888888888888,0.36752136752136755,0.4050632911392405,0.7857142857142857
2018-19,101123,Gerald Green,73,0.0,231,578,156,441,57,68,30,152,182,40,33,27,55,675,,HOU,0.0,9.246575342465754,2.493150684931507,0.547945205479452,0.4520547945205479,0.3698630136986301,0.7534246575342466,2.136986301369863,0.39965397923875434,0.35374149659863946,0.8382352941176471
2018-19,101133,Ian Mahinmi,34,0.0,47,104,3,16,42,61,48,80,128,25,25,16,21,139,C,WAS,0.0,4.088235294117647,3.764705882352941,0.7352941176470589,0.7352941176470589,0.47058823529411764,0.6176470588235294,0.08823529411764706,0.4519230769230769,0.1875,0.6885245901639344
