personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
1713,Vince Carter,76,ATL,0.419,0.712,1.618,7.395,2.553,1.145,0.579,0.355,0.632
1717,Dirk Nowitzki,51,DAL,0.359,0.78,1.255,7.314,3.098,0.686,0.176,0.353,0.353
2037,Jamal Crawford,64,PHX,0.397,0.845,1.047,7.938,1.328,3.578,0.516,0.188,1.547
2199,Tyson Chandler,55,"LAL, PHX",0.616,0.586,0.0,3.145,5.582,0.673,0.382,0.418,0.764
2200,Pau Gasol,30,"MIL, SAS",0.447,0.7,0.2,3.933,4.567,1.733,0.167,0.5,0.533
2225,Tony Parker,56,CHA,0.46,0.734,0.232,9.464,1.482,3.696,0.375,0.125,1.339
2403,Nene Hilario,42,HOU,0.517,0.66,0.0,3.595,2.929,0.619,0.429,0.357,0.262
2544,LeBron James,55,LAL,0.51,0.665,2.018,27.364,8.455,8.255,1.309,0.6,3.582
2546,Carmelo Anthony,10,HOU,0.405,0.682,2.1,13.4,5.4,0.5,0.4,0.7,0.8
2548,Dwyane Wade,72,MIA,0.433,0.708,1.194,15.042,3.958,4.181,0.819,0.528,2.306
2585,Zaza Pachulia,68,DET,0.44,0.782,0.0,3.926,3.897,1.338,0.456,0.25,0.838
2594,Kyle Korver,70,"CLE, UTA",0.416,0.822,1.971,8.571,2.314,1.157,0.357,0.171,0.843
2617,Udonis Haslem,10,MIA,0.333,0.75,0.0,2.5,2.7,0.2,0.0,0.0,0.3
2730,Dwight Howard,9,WAS,0.623,0.604,0.0,12.778,9.222,0.444,0.778,0.444,1.778
2733,Shaun Livingston,64,GSW,0.519,0.784,0.0,4.031,1.828,1.781,0.484,0.422,0.594
2734,Devin Harris,68,DAL,0.38,0.761,0.912,6.294,1.647,1.794,0.515,0.235,0.824
2736,Luol Deng,22,MIN,0.5,0.714,0.636,7.136,3.318,0.818,0.682,0.364,0.636
2738,Andre Iguodala,68,GSW,0.5,0.582,0.706,5.721,3.706,3.176,0.897,0.75,0.765
2747,JR Smith,11,CLE,0.342,0.8,1.091,6.727,1.636,1.909,1.0,0.273,1.0
2772,Trevor Ariza,69,"PHX, WAS",0.399,0.793,2.101,12.507,5.377,3.652,1.319,0.304,1.536
101106,Andrew Bogut,11,GSW,0.5,1.0,0.0,3.545,5.0,1.0,0.273,0.727,0.727
101107,Marvin Williams,75,CHA,0.422,0.767,1.867,10.08,5.427,1.227,0.947,0.813,0.627
101108,Chris Paul,58,HOU,0.419,0.862,2.19,15.621,4.569,8.155,1.966,0.31,2.621
101109,Raymond Felton,33,OKC,0.407,0.923,0.606,4.303,1.03,1.576,0.303,0.182,0.424
101112,Channing Frye,36,CLE,0.368,0.786,0.889,3.583,1.444,0.556,0.167,0.139,0.361
101123,Gerald Green,73,HOU,0.4,0.838,2.137,9.247,2.493,0.548,0.452,0.37,0.753
101133,Ian Mahinmi,34,WAS,0.452,0.689,0.088,4.088,3.765,0.735,0.735,0.471,0.618
101139,CJ Miles,53,"MEM, TOR",0.36,0.828,1.264,6.396,1.792,0.679,0.491,0.283,0.566
101141,Ersan Ilyasova,67,MIL,0.438,0.824,0.866,6.761,4.507,0.776,0.478,0.299,0.716
101150,Lou Williams,75,LAC,0.425,0.876,1.4,19.973,2.96,5.36,0.76,0.147,2.413
101161,Amir Johnson,51,PHI,0.503,0.756,0.235,3.941,2.882,1.176,0.314,0.255,0.882
101162,Marcin Gortat,47,LAC,0.532,0.729,0.0,4.957,5.553,1.383,0.128,0.511,1.064
101181,Jose Calderon,48,DET,0.375,0.818,0.292,2.354,1.25,2.396,0.333,0.062,0.729
200746,LaMarcus Aldridge,81,SAS,0.519,0.847,0.123,21.321,9.185,2.395,0.531,1.321,1.778
200752,Rudy Gay,69,SAS,0.504,0.816,1.072,13.71,6.812,2.638,0.783,0.493,1.652
200755,JJ Redick,76,PHI,0.44,0.894,3.158,18.053,2.447,2.711,0.421,0.224,1.329
200757,Thabo Sefolosha,50,UTA,0.477,0.636,0.68,3.8,2.46,0.54,0.86,0.1,0.5
200765,Rajon Rondo,46,LAL,0.405,0.639,1.109,9.217,5.283,7.978,1.239,0.152,2.761
200768,Kyle Lowry,65,TOR,0.411,0.83,2.415,14.246,4.8,8.677,1.4,0.477,2.8
200782,P.J. Tucker,82,HOU,0.396,0.695,1.78,7.329,5.841,1.171,1.61,0.476,0.768
200794,Paul Millsap,70,DEN,0.484,0.727,0.829,12.614,7.214,2.014,1.186,0.771,1.357
200826,J.J. Barea,38,DAL,0.418,0.705,1.0,10.921,2.5,5.553,0.579,0.026,1.895
201142,Kevin Durant,78,GSW,0.521,0.885,1.756,25.987,6.372,5.859,0.744,1.077,2.885
201143,Al Horford,68,BOS,0.535,0.821,1.074,13.603,6.735,4.162,0.868,1.265,1.5
201144,Mike Conley,70,MEM,0.438,0.845,2.214,21.114,3.414,6.414,1.343,0.314,1.857
201145,Jeff Green,77,WAS,0.475,0.888,1.442,12.286,4.013,1.779,0.558,0.506,1.312
201147,Corey Brewer,31,"PHI, SAC",0.431,0.721,0.452,4.871,2.452,1.258,1.032,0.226,0.613
201149,Joakim Noah,42,MEM,0.516,0.716,0.0,7.095,5.667,2.119,0.476,0.738,1.19
201152,Thaddeus Young,81,IND,0.527,0.644,0.63,12.642,6.457,2.519,1.519,0.444,1.519
201156,Nick Young,4,DEN,0.333,0.0,0.75,2.25,0.25,0.5,0.0,0.25,0.5
201158,Marco Belinelli,79,SAS,0.413,0.903,1.861,10.494,2.506,1.671,0.443,0.101,0.911
201160,Jason Smith,20,"MIL, NOP, WAS",0.356,0.875,0.45,3.25,2.6,0.7,0.15,0.35,0.65
201162,Jared Dudley,59,BKN,0.423,0.696,0.898,4.864,2.627,1.407,0.61,0.271,0.729
201163,Wilson Chandler,51,"LAC, PHI",0.418,0.72,1.157,5.98,4.216,1.608,0.49,0.412,0.902
201188,Marc Gasol,79,"MEM, TOR",0.448,0.759,1.253,13.557,7.937,4.418,1.063,1.089,1.962
201229,Anthony Tolliver,65,MIN,0.382,0.783,1.246,5.015,2.723,0.708,0.262,0.323,0.554
201281,Andre Ingram,4,LAL,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25
201563,Michael Beasley,26,LAL,0.49,0.718,0.115,6.962,2.308,0.962,0.346,0.385,1.038
201565,Derrick Rose,51,MIN,0.482,0.856,1.059,17.98,2.745,4.314,0.608,0.235,1.608
201566,Russell Westbrook,73,OKC,0.428,0.656,1.63,22.945,11.055,10.74,1.945,0.452,4.452
201567,Kevin Love,22,CLE,0.385,0.904,2.409,17.0,10.864,2.182,0.273,0.227,1.909
201568,Danilo Gallinari,68,LAC,0.463,0.904,2.368,19.794,6.132,2.618,0.721,0.338,1.456
201569,Eric Gordon,68,HOU,0.409,0.783,3.176,16.221,2.176,1.897,0.603,0.397,1.324
201571,D.J. Augustin,81,ORL,0.47,0.866,1.617,11.704,2.506,5.259,0.642,0.049,1.58
201572,Brook Lopez,81,MIL,0.452,0.842,2.309,12.457,4.889,1.21,0.63,2.21,1.012
201573,Jerryd Bayless,34,MIN,0.357,0.571,0.853,6.147,1.824,3.5,0.529,0.059,0.941
201577,Robin Lopez,74,CHI,0.568,0.724,0.095,9.514,3.865,1.203,0.149,1.054,1.297
201580,JaVale McGee,75,LAL,0.624,0.632,0.013,11.96,7.547,0.693,0.627,1.973,1.44
201583,Ryan Anderson,25,"MIA, PHX",0.304,0.75,0.36,2.52,2.16,0.76,0.16,0.04,0.56
201584,Courtney Lee,34,"DAL, NYK",0.411,0.667,0.471,4.0,1.588,1.088,0.618,0.088,0.412
201585,Kosta Koufos,42,SAC,0.477,0.417,0.0,3.714,4.214,0.857,0.357,0.429,0.643
201586,Serge Ibaka,74,TOR,0.529,0.763,0.662,15.027,8.122,1.338,0.392,1.392,1.541
201587,Nicolas Batum,75,CHA,0.45,0.865,1.547,9.32,5.2,3.293,0.947,0.573,1.56
201588,George Hill,60,"CLE, MIL",0.452,0.824,0.8,7.633,2.467,2.25,0.867,0.133,0.85
201599,DeAndre Jordan,69,"DAL, NYK",0.641,0.705,0.0,10.986,13.072,2.261,0.609,1.058,2.217
201601,Luc Mbah a Moute,4,LAC,0.444,0.4,0.5,5.0,1.75,0.5,0.25,0.25,0.5
201609,Goran Dragic,36,MIA,0.413,0.782,1.583,13.722,3.083,4.833,0.833,0.139,1.972
201933,Blake Griffin,75,DET,0.462,0.753,2.52,24.547,7.533,5.36,0.693,0.373,3.373
201935,James Harden,78,HOU,0.442,0.879,4.846,36.128,6.641,7.513,2.026,0.744,4.962
201936,Tyreke Evans,69,IND,0.389,0.719,1.116,10.232,2.913,2.406,0.841,0.261,1.71
201937,Ricky Rubio,68,UTA,0.404,0.855,1.162,12.706,3.574,6.118,1.338,0.147,2.647
201939,Stephen Curry,69,GSW,0.472,0.916,5.13,27.261,5.348,5.232,1.333,0.362,2.783
201942,DeMar DeRozan,77,SAS,0.481,0.83,0.091,21.234,6.0,6.169,1.117,0.468,2.584
201949,James Johnson,55,MIA,0.433,0.714,0.909,7.782,3.2,2.455,0.636,0.491,1.345
201950,Jrue Holiday,67,NOP,0.472,0.768,1.761,21.194,4.985,7.731,1.627,0.806,3.134
201952,Jeff Teague,42,MIN,0.423,0.804,0.833,12.143,2.524,8.167,1.024,0.429,2.31
201954,Darren Collison,76,IND,0.467,0.832,1.039,11.224,3.053,6.039,1.447,0.118,1.645
201956,Omri Casspi,36,MEM,0.534,0.672,0.417,6.278,3.194,0.722,0.556,0.25,0.639
201959,Taj Gibson,70,MIN,0.566,0.757,0.157,10.757,6.543,1.2,0.757,0.557,1.043
201960,DeMarre Carroll,67,BKN,0.395,0.76,1.582,11.104,5.209,1.269,0.463,0.149,1.09
201961,Wayne Ellington,53,"DET, MIA",0.403,0.796,2.604,10.283,2.019,1.358,1.019,0.113,0.755
201967,Dante Cunningham,64,SAS,0.475,0.778,0.469,3.031,2.938,0.781,0.422,0.203,0.344
201973,Jonas Jerebko,73,GSW,0.459,0.8,0.945,6.288,3.945,1.315,0.37,0.247,0.589
201975,Jodie Meeks,8,TOR,0.538,1.0,1.0,6.375,1.5,1.0,0.125,0.125,0.25
201976,Patrick Beverley,78,LAC,0.407,0.78,1.436,7.641,4.974,3.846,0.859,0.551,1.09
201980,Danny Green,80,TOR,0.465,0.841,2.475,10.262,3.962,1.575,0.912,0.662,0.938
201988,Patty Mills,82,SAS,0.425,0.854,1.939,9.89,2.22,2.988,0.598,0.122,1.134
202066,Garrett Temple,75,"LAC, MEM",0.422,0.748,1.2,7.813,2.88,1.413,1.013,0.4,0.933
202083,Wesley Matthews,69,"DAL, IND, NYK",0.4,0.81,2.174,12.174,2.464,2.319,0.783,0.246,1.319
202322,John Wall,32,WAS,0.444,0.697,1.594,20.719,3.625,8.719,1.531,0.906,3.781
202323,Evan Turner,73,POR,0.46,0.708,0.151,6.767,4.493,3.877,0.452,0.247,1.562
202324,Derrick Favors,76,UTA,0.586,0.675,0.224,11.803,7.368,1.171,0.737,1.395,1.105
202325,Wesley Johnson,38,"NOP, WAS",0.352,0.684,0.658,3.368,1.895,0.605,0.368,0.316,0.474
202326,DeMarcus Cousins,30,GSW,0.48,0.736,0.867,16.267,8.233,3.567,1.333,1.467,2.4
202327,Ekpe Udoh,51,UTA,0.694,0.633,0.0,2.333,1.765,0.549,0.196,0.608,0.255
202328,Greg Monroe,43,"BOS, PHI, TOR",0.487,0.625,0.023,5.349,4.0,0.558,0.326,0.186,0.744
202329,Al-Farouq Aminu,81,POR,0.433,0.867,1.185,9.383,7.531,1.284,0.84,0.407,0.889
202330,Gordon Hayward,72,BOS,0.466,0.834,1.069,11.458,4.472,3.389,0.861,0.319,1.458
202331,Paul George,77,OKC,0.438,0.839,3.792,28.039,8.156,4.13,2.208,0.442,2.662
202334,Ed Davis,81,BKN,0.616,0.617,0.0,5.827,8.568,0.753,0.432,0.407,0.79
202335,Patrick Patterson,63,OKC,0.374,0.633,0.73,3.635,2.333,0.492,0.254,0.206,0.349
202339,Eric Bledsoe,78,MIL,0.484,0.75,1.59,15.91,4.641,5.513,1.487,0.372,2.115
202340,Avery Bradley,63,"LAC, MEM",0.408,0.86,1.365,9.921,2.778,2.413,0.651,0.254,1.413
202347,Quincy Pondexter,53,SAS,0.5,0.81,0.113,1.849,0.868,0.453,0.208,0.019,0.245
202355,Hassan Whiteside,72,MIA,0.571,0.449,0.028,12.319,11.347,0.778,0.639,1.889,1.347
202357,Nemanja Bjelica,77,SAC,0.479,0.761,1.338,9.623,5.766,1.909,0.701,0.727,1.065
202362,Lance Stephenson,68,LAL,0.426,0.685,1.074,7.221,3.162,2.059,0.603,0.103,1.265
202391,Jeremy Lin,74,"ATL, TOR",0.44,0.838,0.743,9.554,2.419,3.122,0.635,0.176,1.676
202397,Ish Smith,56,DET,0.419,0.758,0.786,8.946,2.589,3.625,0.5,0.196,1.089
202498,Lance Thomas,46,NYK,0.396,0.75,0.478,4.457,2.543,0.587,0.37,0.152,0.522
202681,Kyrie Irving,67,BOS,0.487,0.873,2.597,23.821,5.0,6.925,1.537,0.507,2.567
202683,Enes Freedom,67,"NYK, POR",0.549,0.787,0.149,13.657,9.836,1.731,0.478,0.388,1.761
202684,Tristan Thompson,43,CLE,0.529,0.642,0.0,10.93,10.186,2.0,0.651,0.372,1.372
202685,Jonas Valanciunas,49,"MEM, TOR",0.559,0.795,0.286,15.571,8.551,1.429,0.388,1.082,1.837
202687,Bismack Biyombo,54,CHA,0.571,0.637,0.0,4.37,4.574,0.611,0.204,0.759,0.63
202688,Brandon Knight,39,"CLE, HOU",0.381,0.794,1.051,6.821,1.513,1.821,0.538,0.051,0.769
202689,Kemba Walker,82,CHA,0.434,0.844,3.171,25.634,4.402,5.902,1.244,0.415,2.573
202690,Jimmer Fredette,6,PHX,0.276,1.0,0.0,3.667,1.167,1.333,0.5,0.0,0.833
202691,Klay Thompson,78,GSW,0.467,0.816,3.09,21.538,3.833,2.385,1.077,0.603,1.474
202692,Alec Burks,64,"CLE, SAC, UTA",0.405,0.823,0.953,8.766,3.672,2.0,0.609,0.328,1.016
202693,Markieff Morris,58,"OKC, WAS",0.421,0.772,1.172,9.431,4.569,1.362,0.621,0.379,0.931
202694,Marcus Morris Sr.,75,BOS,0.447,0.844,1.947,13.947,6.107,1.453,0.573,0.333,1.227
202695,Kawhi Leonard,60,TOR,0.496,0.854,1.867,26.6,7.317,3.317,1.767,0.4,2.017
