season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2012-13,255,Grant Hill,29,0.0,38,98,3,11,14,24,6,43,49,26,11,7,25,93,,LAC,0.0,3.206896551724138,1.6896551724137931,0.896551724137931,0.3793103448275862,0.2413793103448276,0.8620689655172413,0.10344827586206896,0.3877551020408163,0.2727272727272727,0.5833333333333334
2012-13,436,Juwan Howard,7,0.0,10,19,0,0,1,1,0,8,8,6,0,0,4,21,F,MIA,0.0,3.0,1.1428571428571428,0.8571428571428571,0.0,0.0,0.5714285714285714,0.0,0.5263157894736842,0.0,1.0
2012-13,467,Jason Kidd,76,0.0,152,409,114,325,40,48,50,273,323,249,125,25,76,458,G,NYK,0.0,6.026315789473684,4.25,3.276315789473684,1.644736842105263,0.32894736842105265,1.0,1.5,0.37163814180929094,0.3507692307692308,0.8333333333333334
2012-13,703,Kurt Thomas,39,0.0,45,83,1,1,6,13,24,65,89,21,10,16,8,97,F,NYK,0.0,2.4871794871794872,2.282051282051282,0.5384615384615384,0.2564102564102564,0.41025641025641024,0.20512820512820512,0.02564102564102564,0.5421686746987951,1.0,0.46153846153846156
2012-13,708,Kevin Garnett,68,0.0,422,850,2,16,158,201,75,455,530,159,78,62,110,1004,C,BOS,0.0,14.764705882352942,7.794117647058823,2.338235294117647,1.1470588235294117,0.9117647058823529,1.6176470588235294,0.029411764705882353,0.4964705882352941,0.125,0.7860696517412935
2012-13,711,Jerry Stackhouse,37,0.0,66,172,30,89,20,23,5,28,33,35,7,4,24,182,,BKN,0.0,4.918918918918919,0.8918918918918919,0.9459459459459459,0.1891891891891892,0.10810810810810811,0.6486486486486487,0.8108108108108109,0.38372093023255816,0.33707865168539325,0.8695652173913043
2012-13,739,Rasheed Wallace,21,0.0,55,142,22,69,14,20,11,72,83,6,13,15,10,146,,NYK,0.0,6.9523809523809526,3.9523809523809526,0.2857142857142857,0.6190476190476191,0.7142857142857143,0.47619047619047616,1.0476190476190477,0.3873239436619718,0.3188405797101449,0.7
2012-13,948,Marcus Camby,24,0.0,17,53,0,0,8,19,24,56,80,14,7,14,15,42,F,NYK,0.0,1.75,3.3333333333333335,0.5833333333333334,0.2916666666666667,0.5833333333333334,0.625,0.0,0.32075471698113206,0.0,0.42105263157894735
2012-13,951,Ray Allen,79,0.0,292,651,139,332,140,158,40,177,217,135,67,15,103,863,,MIA,0.0,10.924050632911392,2.7468354430379747,1.7088607594936709,0.8481012658227848,0.189873417721519,1.3037974683544304,1.759493670886076,0.4485407066052227,0.4186746987951807,0.8860759493670886
2012-13,959,Steve Nash,50,0.0,236,475,57,130,107,116,26,116,142,333,30,5,126,636,G,LAL,0.0,12.72,2.84,6.66,0.6,0.1,2.52,1.14,0.4968421052631579,0.43846153846153846,0.9224137931034483
2012-13,965,Derek Fisher,33,0.0,55,161,30,80,35,38,2,35,37,47,19,3,30,175,G,"DAL, OKC",0.0,5.303030303030303,1.121212121212121,1.4242424242424243,0.5757575757575758,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.3416149068322981,0.375,0.9210526315789473
2012-13,977,Kobe Bryant,78,0.0,738,1595,132,407,525,626,66,367,433,469,106,25,287,2133,G,LAL,0.0,27.346153846153847,5.551282051282051,6.012820512820513,1.358974358974359,0.32051282051282054,3.6794871794871793,1.6923076923076923,0.4626959247648903,0.32432432432432434,0.8386581469648562
2012-13,979,Jermaine O'Neal,55,0.0,179,371,0,0,96,115,82,211,293,42,19,78,73,454,C,PHX,0.0,8.254545454545454,5.327272727272727,0.7636363636363637,0.34545454545454546,1.4181818181818182,1.3272727272727274,0.0,0.48247978436657685,0.0,0.8347826086956521
2012-13,1495,Tim Duncan,69,0.0,490,976,2,7,245,300,124,562,686,184,50,183,147,1227,F,SAS,0.0,17.782608695652176,9.942028985507246,2.6666666666666665,0.7246376811594203,2.652173913043478,2.130434782608696,0.028985507246376812,0.5020491803278688,0.2857142857142857,0.8166666666666667
2012-13,1497,Chauncey Billups,22,0.0,53,132,33,90,45,48,2,30,32,49,12,1,26,184,G,LAC,0.0,8.363636363636363,1.4545454545454546,2.227272727272727,0.5454545454545454,0.045454545454545456,1.1818181818181819,1.5,0.4015151515151515,0.36666666666666664,0.9375
2012-13,1536,Stephen Jackson,55,0.0,123,330,46,170,49,70,22,133,155,80,37,14,77,341,F,SAS,0.0,6.2,2.8181818181818183,1.4545454545454546,0.6727272727272727,0.2545454545454545,1.4,0.8363636363636363,0.37272727272727274,0.27058823529411763,0.7
2012-13,1712,Antawn Jamison,76,0.0,267,575,84,233,94,136,109,253,362,50,30,22,53,712,F,LAL,0.0,9.368421052631579,4.7631578947368425,0.6578947368421053,0.39473684210526316,0.2894736842105263,0.6973684210526315,1.105263157894737,0.4643478260869565,0.3605150214592275,0.6911764705882353
2012-13,1713,Vince Carter,81,0.0,372,855,162,399,182,223,58,276,334,194,74,44,106,1088,F,DAL,0.0,13.432098765432098,4.1234567901234565,2.3950617283950617,0.9135802469135802,0.5432098765432098,1.308641975308642,2.0,0.43508771929824563,0.40601503759398494,0.8161434977578476
2012-13,1717,Dirk Nowitzki,53,0.0,343,728,65,157,166,193,37,326,363,132,38,37,70,917,F,DAL,0.0,17.30188679245283,6.849056603773585,2.490566037735849,0.7169811320754716,0.6981132075471698,1.320754716981132,1.2264150943396226,0.47115384615384615,0.4140127388535032,0.8601036269430051
2012-13,1718,Paul Pierce,77,0.0,476,1092,145,382,333,423,45,442,487,370,84,30,214,1430,F,BOS,0.0,18.571428571428573,6.324675324675325,4.805194805194805,1.0909090909090908,0.38961038961038963,2.779220779220779,1.8831168831168832,0.4358974358974359,0.3795811518324607,0.7872340425531915
2012-13,1733,Al Harrington,10,0.0,20,57,8,30,3,4,6,21,27,10,4,1,7,51,,ORL,0.0,5.1,2.7,1.0,0.4,0.1,0.7,0.8,0.3508771929824561,0.26666666666666666,0.75
2012-13,1737,Nazr Mohammed,63,0.0,66,180,0,2,34,47,73,122,195,26,21,32,24,166,C,CHI,0.0,2.634920634920635,3.0952380952380953,0.4126984126984127,0.3333333333333333,0.5079365079365079,0.38095238095238093,0.0,0.36666666666666664,0.0,0.723404255319149
2012-13,1740,Rashard Lewis,55,0.0,103,249,51,131,28,45,19,102,121,30,21,14,33,285,F,MIA,0.0,5.181818181818182,2.2,0.5454545454545454,0.38181818181818183,0.2545454545454545,0.6,0.9272727272727272,0.41365461847389556,0.3893129770992366,0.6222222222222222
2012-13,1882,Elton Brand,72,0.0,226,478,0,1,66,93,130,300,430,70,50,90,57,518,F,DAL,0.0,7.194444444444445,5.972222222222222,0.9722222222222222,0.6944444444444444,1.25,0.7916666666666666,0.0,0.47280334728033474,0.0,0.7096774193548387
2012-13,1885,Lamar Odom,82,0.0,146,366,18,90,20,42,117,363,480,142,69,58,86,330,F,LAC,0.0,4.024390243902439,5.853658536585366,1.7317073170731707,0.8414634146341463,0.7073170731707317,1.048780487804878,0.21951219512195122,0.3989071038251366,0.2,0.47619047619047616
2012-13,1888,Richard Hamilton,50,0.0,204,475,16,52,66,77,16,67,83,119,24,5,84,490,G,CHI,0.0,9.8,1.66,2.38,0.48,0.1,1.68,0.32,0.42947368421052634,0.3076923076923077,0.8571428571428571
2012-13,1889,Andre Miller,82,0.0,303,632,17,64,163,194,60,178,238,484,73,11,172,786,G,DEN,0.0,9.585365853658537,2.902439024390244,5.902439024390244,0.8902439024390244,0.13414634146341464,2.097560975609756,0.2073170731707317,0.47943037974683544,0.265625,0.8402061855670103
2012-13,1890,Shawn Marion,67,0.0,355,690,23,73,79,101,146,379,525,163,75,47,103,812,F,DAL,0.0,12.119402985074627,7.835820895522388,2.4328358208955225,1.1194029850746268,0.7014925373134329,1.537313432835821,0.34328358208955223,0.5144927536231884,0.3150684931506849,0.7821782178217822
2012-13,1891,Jason Terry,79,0.0,281,648,123,331,114,131,19,140,159,198,66,11,102,799,G,BOS,0.0,10.113924050632912,2.0126582278481013,2.5063291139240507,0.8354430379746836,0.13924050632911392,1.2911392405063291,1.5569620253164558,0.43364197530864196,0.3716012084592145,0.8702290076335878
2012-13,1894,Corey Maggette,18,0.0,27,76,5,21,36,48,5,20,25,19,6,2,17,95,,DET,0.0,5.277777777777778,1.3888888888888888,1.0555555555555556,0.3333333333333333,0.1111111111111111,0.9444444444444444,0.2777777777777778,0.35526315789473684,0.23809523809523808,0.75
2012-13,1897,Metta World Peace,75,0.0,332,824,141,412,124,169,101,271,372,112,122,42,98,929,F,LAL,0.0,12.386666666666667,4.96,1.4933333333333334,1.6266666666666667,0.56,1.3066666666666666,1.88,0.4029126213592233,0.3422330097087379,0.7337278106508875
2012-13,1905,Andrei Kirilenko,64,0.0,284,560,35,120,188,250,102,260,362,177,96,62,119,791,F,MIN,0.0,12.359375,5.65625,2.765625,1.5,0.96875,1.859375,0.546875,0.5071428571428571,0.2916666666666667,0.752
2012-13,1938,Manu Ginobili,60,0.0,229,539,83,235,164,206,30,171,201,274,80,13,132,705,,SAS,0.0,11.75,3.35,4.566666666666666,1.3333333333333333,0.21666666666666667,2.2,1.3833333333333333,0.424860853432282,0.35319148936170214,0.7961165048543689
2012-13,2030,Kenyon Martin,18,0.0,56,93,0,0,17,40,34,61,95,8,16,17,16,129,C,NYK,0.0,7.166666666666667,5.277777777777778,0.4444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.0,0.6021505376344086,0.0,0.425
2012-13,2034,Mike Miller,59,0.0,100,231,73,175,8,11,18,139,157,99,21,4,35,281,G,MIA,0.0,4.762711864406779,2.6610169491525424,1.6779661016949152,0.3559322033898305,0.06779661016949153,0.5932203389830508,1.2372881355932204,0.4329004329004329,0.41714285714285715,0.7272727272727273
2012-13,2037,Jamal Crawford,76,0.0,445,1016,149,396,216,248,22,106,128,193,79,13,146,1255,,LAC,0.0,16.513157894736842,1.6842105263157894,2.539473684210526,1.0394736842105263,0.17105263157894737,1.9210526315789473,1.9605263157894737,0.43799212598425197,0.37626262626262624,0.8709677419354839
2012-13,2038,Joel Przybilla,12,0.0,1,4,0,0,0,2,5,16,21,4,1,2,4,2,C,MIL,0.0,0.16666666666666666,1.75,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.25,0.0,0.0
2012-13,2039,Keyon Dooling,7,0.0,10,21,5,12,6,7,0,1,1,8,1,0,5,31,,MEM,0.0,4.428571428571429,0.14285714285714285,1.1428571428571428,0.14285714285714285,0.0,0.7142857142857143,0.7142857142857143,0.47619047619047616,0.4166666666666667,0.8571428571428571
2012-13,2045,Hedo Turkoglu,11,0.0,14,53,1,24,3,6,4,22,26,23,7,1,12,32,F,ORL,0.0,2.909090909090909,2.3636363636363638,2.090909090909091,0.6363636363636364,0.09090909090909091,1.0909090909090908,0.09090909090909091,0.2641509433962264,0.041666666666666664,0.5
2012-13,2047,Quentin Richardson,1,0.0,1,11,1,4,2,2,5,5,10,1,0,0,2,5,,NYK,0.0,5.0,10.0,1.0,0.0,0.0,2.0,1.0,0.09090909090909091,0.25,1.0
2012-13,2052,DeShawn Stevenson,56,0.0,98,262,76,209,12,23,18,104,122,52,29,6,23,284,F,ATL,0.0,5.071428571428571,2.1785714285714284,0.9285714285714286,0.5178571428571429,0.10714285714285714,0.4107142857142857,1.3571428571428572,0.37404580152671757,0.36363636363636365,0.5217391304347826
2012-13,2198,Kwame Brown,22,0.0,17,37,0,0,7,19,23,51,74,9,6,10,8,41,C,PHI,0.0,1.8636363636363635,3.3636363636363638,0.4090909090909091,0.2727272727272727,0.45454545454545453,0.36363636363636365,0.0,0.4594594594594595,0.0,0.3684210526315789
2012-13,2199,Tyson Chandler,66,0.0,255,400,0,0,179,258,269,434,703,62,42,75,87,689,C,NYK,0.0,10.43939393939394,10.651515151515152,0.9393939393939394,0.6363636363636364,1.1363636363636365,1.3181818181818181,0.0,0.6375,0.0,0.6937984496124031
2012-13,2200,Pau Gasol,49,0.0,270,579,8,28,125,178,111,310,421,200,24,61,104,673,F,LAL,0.0,13.73469387755102,8.591836734693878,4.081632653061225,0.4897959183673469,1.2448979591836735,2.122448979591837,0.16326530612244897,0.46632124352331605,0.2857142857142857,0.702247191011236
2012-13,2201,Eddy Curry,2,0.0,4,8,0,0,1,4,2,2,4,0,0,0,3,9,,DAL,0.0,4.5,2.0,0.0,0.0,0.0,1.5,0.0,0.5,0.0,0.25
2012-13,2202,Jason Richardson,33,0.0,135,336,57,167,20,33,19,108,127,51,40,15,26,347,G,PHI,0.0,10.515151515151516,3.8484848484848486,1.5454545454545454,1.2121212121212122,0.45454545454545453,0.7878787878787878,1.7272727272727273,0.4017857142857143,0.3413173652694611,0.6060606060606061
2012-13,2203,Shane Battier,72,0.0,152,362,136,316,32,38,37,128,165,72,41,55,34,472,F,MIA,0.0,6.555555555555555,2.2916666666666665,1.0,0.5694444444444444,0.7638888888888888,0.4722222222222222,1.8888888888888888,0.4198895027624309,0.43037974683544306,0.8421052631578947
2012-13,2205,DeSagana Diop,22,0.0,8,27,0,1,0,1,10,41,51,13,5,16,8,16,C,CHA,0.0,0.7272727272727273,2.3181818181818183,0.5909090909090909,0.22727272727272727,0.7272727272727273,0.36363636363636365,0.0,0.2962962962962963,0.0,0.0
2012-13,2207,Joe Johnson,72,0.0,445,1052,148,395,132,161,53,165,218,253,49,14,123,1170,G,BKN,0.0,16.25,3.0277777777777777,3.513888888888889,0.6805555555555556,0.19444444444444445,1.7083333333333333,2.0555555555555554,0.4230038022813688,0.37468354430379747,0.8198757763975155
2012-13,2209,Vladimir Radmanovic,25,0.0,13,43,5,27,2,3,10,18,28,8,8,4,7,33,,CHI,0.0,1.32,1.12,0.32,0.32,0.16,0.28,0.2,0.3023255813953488,0.18518518518518517,0.6666666666666666
2012-13,2210,Richard Jefferson,56,0.0,62,136,14,45,38,53,5,79,84,31,14,7,23,176,F,GSW,0.0,3.142857142857143,1.5,0.5535714285714286,0.25,0.125,0.4107142857142857,0.25,0.45588235294117646,0.3111111111111111,0.7169811320754716
2012-13,2211,Troy Murphy,14,0.0,22,61,11,35,10,11,7,42,49,7,10,6,7,65,F,DAL,0.0,4.642857142857143,3.5,0.5,0.7142857142857143,0.42857142857142855,0.5,0.7857142857142857,0.36065573770491804,0.3142857142857143,0.9090909090909091
2012-13,2215,Jason Collins,38,0.0,9,29,0,0,23,32,22,38,60,8,12,10,18,41,C,"BOS, WAS",0.0,1.0789473684210527,1.5789473684210527,0.21052631578947367,0.3157894736842105,0.2631578947368421,0.47368421052631576,0.0,0.3103448275862069,0.0,0.71875
2012-13,2216,Zach Randolph,76,0.0,471,1024,2,23,225,300,310,544,854,108,61,31,150,1169,F,MEM,0.0,15.381578947368421,11.236842105263158,1.4210526315789473,0.8026315789473685,0.40789473684210525,1.9736842105263157,0.02631578947368421,0.4599609375,0.08695652173913043,0.75
2012-13,2217,Brendan Haywood,61,0.0,93,216,0,1,30,66,125,165,290,29,16,49,50,216,C,CHA,0.0,3.540983606557377,4.754098360655738,0.47540983606557374,0.26229508196721313,0.8032786885245902,0.819672131147541,0.0,0.4305555555555556,0.0,0.45454545454545453
2012-13,2222,Gerald Wallace,69,0.0,182,458,46,163,121,190,69,250,319,181,97,46,110,531,F,BKN,0.0,7.695652173913044,4.6231884057971016,2.6231884057971016,1.4057971014492754,0.6666666666666666,1.5942028985507246,0.6666666666666666,0.39737991266375544,0.2822085889570552,0.6368421052631579
2012-13,2223,Samuel Dalembert,47,0.0,137,253,1,1,38,55,105,171,276,21,17,53,51,313,C,MIL,0.0,6.659574468085107,5.872340425531915,0.44680851063829785,0.3617021276595745,1.127659574468085,1.0851063829787233,0.02127659574468085,0.541501976284585,1.0,0.6909090909090909
2012-13,2224,Jamaal Tinsley,66,0.0,86,234,39,127,18,26,17,98,115,290,64,14,106,229,G,UTA,0.0,3.4696969696969697,1.7424242424242424,4.393939393939394,0.9696969696969697,0.21212121212121213,1.606060606060606,0.5909090909090909,0.36752136752136755,0.30708661417322836,0.6923076923076923
2012-13,2225,Tony Parker,66,0.0,519,995,24,68,279,330,18,180,198,499,54,6,170,1341,G,SAS,0.0,20.318181818181817,3.0,7.5606060606060606,0.8181818181818182,0.09090909090909091,2.5757575757575757,0.36363636363636365,0.521608040201005,0.35294117647058826,0.8454545454545455
2012-13,2229,Mike James,45,0.0,101,271,48,125,23,29,9,63,72,139,26,3,55,273,G,DAL,0.0,6.066666666666666,1.6,3.088888888888889,0.5777777777777777,0.06666666666666667,1.2222222222222223,1.0666666666666667,0.3726937269372694,0.384,0.7931034482758621
2012-13,2248,Earl Watson,48,0.0,37,120,5,28,17,25,23,64,87,190,40,8,69,96,G,UTA,0.0,2.0,1.8125,3.9583333333333335,0.8333333333333334,0.16666666666666666,1.4375,0.10416666666666667,0.30833333333333335,0.17857142857142858,0.68
2012-13,2365,Chris Andersen,42,0.0,71,123,2,3,63,93,57,115,172,17,16,44,24,207,,MIA,0.0,4.928571428571429,4.095238095238095,0.40476190476190477,0.38095238095238093,1.0476190476190477,0.5714285714285714,0.047619047619047616,0.5772357723577236,0.6666666666666666,0.6774193548387096
2012-13,2399,Mike Dunleavy,75,0.0,276,624,128,299,105,128,31,260,291,145,39,35,90,785,F,MIL,0.0,10.466666666666667,3.88,1.9333333333333333,0.52,0.4666666666666667,1.2,1.7066666666666668,0.4423076923076923,0.4280936454849498,0.8203125
2012-13,2400,Drew Gooden,16,0.0,20,61,1,5,11,16,13,18,31,6,5,6,9,52,,MIL,0.0,3.25,1.9375,0.375,0.3125,0.375,0.5625,0.0625,0.32786885245901637,0.2,0.6875
2012-13,2403,Nene Hilario,61,0.0,285,594,0,1,196,269,101,306,407,177,55,37,139,766,F,WAS,0.0,12.557377049180328,6.672131147540983,2.901639344262295,0.9016393442622951,0.6065573770491803,2.278688524590164,0.0,0.4797979797979798,0.0,0.7286245353159851
2012-13,2404,Chris Wilcox,61,0.0,110,153,0,1,39,58,55,125,180,22,32,28,34,259,C,BOS,0.0,4.245901639344262,2.9508196721311477,0.36065573770491804,0.5245901639344263,0.45901639344262296,0.5573770491803278,0.0,0.7189542483660131,0.0,0.6724137931034483
2012-13,2405,Amar'e Stoudemire,29,0.0,154,267,0,0,105,130,60,85,145,13,10,21,50,413,,NYK,0.0,14.241379310344827,5.0,0.4482758620689655,0.3448275862068966,0.7241379310344828,1.7241379310344827,0.0,0.5767790262172284,0.0,0.8076923076923077
2012-13,2406,Caron Butler,78,0.0,305,720,128,330,75,90,41,182,223,78,51,11,72,813,F,LAC,0.0,10.423076923076923,2.858974358974359,1.0,0.6538461538461539,0.14102564102564102,0.9230769230769231,1.641025641025641,0.4236111111111111,0.3878787878787879,0.8333333333333334
