personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
255,Grant Hill,29,LAC,0.388,0.583,0.103,3.207,1.69,0.897,0.379,0.241,0.862
436,Juwan Howard,7,MIA,0.526,1.0,0.0,3.0,1.143,0.857,0.0,0.0,0.571
467,Jason Kidd,76,NYK,0.372,0.833,1.5,6.026,4.25,3.276,1.645,0.329,1.0
703,Kurt Thomas,39,NYK,0.542,0.462,0.026,2.487,2.282,0.538,0.256,0.41,0.205
708,Kevin Garnett,68,BOS,0.496,0.786,0.029,14.765,7.794,2.338,1.147,0.912,1.618
711,Jerry Stackhouse,37,BKN,0.384,0.87,0.811,4.919,0.892,0.946,0.189,0.108,0.649
739,Rasheed Wallace,21,NYK,0.387,0.7,1.048,6.952,3.952,0.286,0.619,0.714,0.476
948,Marcus Camby,24,NYK,0.321,0.421,0.0,1.75,3.333,0.583,0.292,0.583,0.625
951,Ray Allen,79,MIA,0.449,0.886,1.759,10.924,2.747,1.709,0.848,0.19,1.304
959,Steve Nash,50,LAL,0.497,0.922,1.14,12.72,2.84,6.66,0.6,0.1,2.52
965,Derek Fisher,33,"DAL, OKC",0.342,0.921,0.909,5.303,1.121,1.424,0.576,0.091,0.909
977,Kobe Bryant,78,LAL,0.463,0.839,1.692,27.346,5.551,6.013,1.359,0.321,3.679
979,Jermaine O'Neal,55,PHX,0.482,0.835,0.0,8.255,5.327,0.764,0.345,1.418,1.327
1495,Tim Duncan,69,SAS,0.502,0.817,0.029,17.783,9.942,2.667,0.725,2.652,2.13
1497,Chauncey Billups,22,LAC,0.402,0.938,1.5,8.364,1.455,2.227,0.545,0.045,1.182
1536,Stephen Jackson,55,SAS,0.373,0.7,0.836,6.2,2.818,1.455,0.673,0.255,1.4
1712,Antawn Jamison,76,LAL,0.464,0.691,1.105,9.368,4.763,0.658,0.395,0.289,0.697
1713,Vince Carter,81,DAL,0.435,0.816,2.0,13.432,4.123,2.395,0.914,0.543,1.309
1717,Dirk Nowitzki,53,DAL,0.471,0.86,1.226,17.302,6.849,2.491,0.717,0.698,1.321
1718,Paul Pierce,77,BOS,0.436,0.787,1.883,18.571,6.325,4.805,1.091,0.39,2.779
1733,Al Harrington,10,ORL,0.351,0.75,0.8,5.1,2.7,1.0,0.4,0.1,0.7
1737,Nazr Mohammed,63,CHI,0.367,0.723,0.0,2.635,3.095,0.413,0.333,0.508,0.381
1740,Rashard Lewis,55,MIA,0.414,0.622,0.927,5.182,2.2,0.545,0.382,0.255,0.6
1882,Elton Brand,72,DAL,0.473,0.71,0.0,7.194,5.972,0.972,0.694,1.25,0.792
1885,Lamar Odom,82,LAC,0.399,0.476,0.22,4.024,5.854,1.732,0.841,0.707,1.049
1888,Richard Hamilton,50,CHI,0.429,0.857,0.32,9.8,1.66,2.38,0.48,0.1,1.68
1889,Andre Miller,82,DEN,0.479,0.84,0.207,9.585,2.902,5.902,0.89,0.134,2.098
1890,Shawn Marion,67,DAL,0.514,0.782,0.343,12.119,7.836,2.433,1.119,0.701,1.537
1891,Jason Terry,79,BOS,0.434,0.87,1.557,10.114,2.013,2.506,0.835,0.139,1.291
1894,Corey Maggette,18,DET,0.355,0.75,0.278,5.278,1.389,1.056,0.333,0.111,0.944
1897,Metta World Peace,75,LAL,0.403,0.734,1.88,12.387,4.96,1.493,1.627,0.56,1.307
1905,Andrei Kirilenko,64,MIN,0.507,0.752,0.547,12.359,5.656,2.766,1.5,0.969,1.859
1938,Manu Ginobili,60,SAS,0.425,0.796,1.383,11.75,3.35,4.567,1.333,0.217,2.2
2030,Kenyon Martin,18,NYK,0.602,0.425,0.0,7.167,5.278,0.444,0.889,0.944,0.889
2034,Mike Miller,59,MIA,0.433,0.727,1.237,4.763,2.661,1.678,0.356,0.068,0.593
2037,Jamal Crawford,76,LAC,0.438,0.871,1.961,16.513,1.684,2.539,1.039,0.171,1.921
2038,Joel Przybilla,12,MIL,0.25,0.0,0.0,0.167,1.75,0.333,0.083,0.167,0.333
2039,Keyon Dooling,7,MEM,0.476,0.857,0.714,4.429,0.143,1.143,0.143,0.0,0.714
2045,Hedo Turkoglu,11,ORL,0.264,0.5,0.091,2.909,2.364,2.091,0.636,0.091,1.091
2047,Quentin Richardson,1,NYK,0.091,1.0,1.0,5.0,10.0,1.0,0.0,0.0,2.0
2052,DeShawn Stevenson,56,ATL,0.374,0.522,1.357,5.071,2.179,0.929,0.518,0.107,0.411
2198,Kwame Brown,22,PHI,0.459,0.368,0.0,1.864,3.364,0.409,0.273,0.455,0.364
2199,Tyson Chandler,66,NYK,0.638,0.694,0.0,10.439,10.652,0.939,0.636,1.136,1.318
2200,Pau Gasol,49,LAL,0.466,0.702,0.163,13.735,8.592,4.082,0.49,1.245,2.122
2201,Eddy Curry,2,DAL,0.5,0.25,0.0,4.5,2.0,0.0,0.0,0.0,1.5
2202,Jason Richardson,33,PHI,0.402,0.606,1.727,10.515,3.848,1.545,1.212,0.455,0.788
2203,Shane Battier,72,MIA,0.42,0.842,1.889,6.556,2.292,1.0,0.569,0.764,0.472
2205,DeSagana Diop,22,CHA,0.296,0.0,0.0,0.727,2.318,0.591,0.227,0.727,0.364
2207,Joe Johnson,72,BKN,0.423,0.82,2.056,16.25,3.028,3.514,0.681,0.194,1.708
2209,Vladimir Radmanovic,25,CHI,0.302,0.667,0.2,1.32,1.12,0.32,0.32,0.16,0.28
2210,Richard Jefferson,56,GSW,0.456,0.717,0.25,3.143,1.5,0.554,0.25,0.125,0.411
2211,Troy Murphy,14,DAL,0.361,0.909,0.786,4.643,3.5,0.5,0.714,0.429,0.5
