season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2022-23,2544,LeBron James,55,0.0,609,1219,121,377,251,327,65,392,457,375,50,32,178,1590,F,LAL,0.0,28.90909090909091,8.309090909090909,6.818181818181818,0.9090909090909091,0.5818181818181818,3.2363636363636363,2.2,0.4995898277276456,0.3209549071618037,0.7675840978593272
2022-23,2617,Udonis Haslem,7,0.0,10,29,3,9,4,5,4,7,11,0,1,2,1,27,C,MIA,0.0,3.857142857142857,1.5714285714285714,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.3448275862068966,0.3333333333333333,0.8
2022-23,2738,Andre Iguodala,8,0.0,7,15,1,9,2,3,3,14,17,19,4,3,9,17,,GSW,0.0,2.125,2.125,2.375,0.5,0.375,1.125,0.125,0.4666666666666667,0.1111111111111111,0.6666666666666666
2022-23,101108,Chris Paul,59,0.0,294,668,98,261,133,160,27,224,251,524,91,22,114,819,G,PHX,0.0,13.88135593220339,4.254237288135593,8.88135593220339,1.5423728813559323,0.3728813559322034,1.9322033898305084,1.6610169491525424,0.44011976047904194,0.37547892720306514,0.83125
2022-23,200752,Rudy Gay,56,0.0,109,288,33,131,42,49,33,130,163,57,19,18,37,293,,UTA,0.0,5.232142857142857,2.9107142857142856,1.0178571428571428,0.3392857142857143,0.32142857142857145,0.6607142857142857,0.5892857142857143,0.3784722222222222,0.25190839694656486,0.8571428571428571
2022-23,200768,Kyle Lowry,55,0.0,196,485,107,310,116,135,43,182,225,281,57,21,103,615,G,MIA,0.0,11.181818181818182,4.090909090909091,5.109090909090909,1.0363636363636364,0.38181818181818183,1.8727272727272728,1.9454545454545455,0.4041237113402062,0.34516129032258064,0.8592592592592593
2022-23,200782,P.J. Tucker,75,0.0,96,225,55,140,19,23,95,200,295,60,39,15,44,266,F,PHI,0.0,3.546666666666667,3.933333333333333,0.8,0.52,0.2,0.5866666666666667,0.7333333333333333,0.4266666666666667,0.39285714285714285,0.8260869565217391
2022-23,201142,Kevin Durant,47,0.0,483,862,93,230,307,334,17,296,313,235,34,67,156,1366,F,"BKN, PHX",0.0,29.06382978723404,6.659574468085107,5.0,0.723404255319149,1.425531914893617,3.3191489361702127,1.9787234042553192,0.5603248259860789,0.4043478260869565,0.9191616766467066
2022-23,201143,Al Horford,63,0.0,228,479,145,325,15,21,73,317,390,189,30,61,37,616,C,BOS,0.0,9.777777777777779,6.190476190476191,3.0,0.47619047619047616,0.9682539682539683,0.5873015873015873,2.3015873015873014,0.4759916492693111,0.4461538461538462,0.7142857142857143
2022-23,201144,Mike Conley,67,0.0,261,610,135,351,141,169,33,149,182,450,73,14,103,798,G,"MIN, UTA",0.0,11.91044776119403,2.716417910447761,6.7164179104477615,1.0895522388059702,0.208955223880597,1.537313432835821,2.014925373134328,0.4278688524590164,0.38461538461538464,0.834319526627219
2022-23,201145,Jeff Green,56,0.0,160,328,30,104,87,117,38,106,144,69,18,17,46,437,F,DEN,0.0,7.803571428571429,2.5714285714285716,1.2321428571428572,0.32142857142857145,0.30357142857142855,0.8214285714285714,0.5357142857142857,0.4878048780487805,0.28846153846153844,0.7435897435897436
