season_year,personId,personName,games_played,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,points,position,teamTricode,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,threepointers_per_game,field_goal_percentage,three_point_percentage,free_throw_percentage
2020-21,2544,LeBron James,45,0.0,422,823,104,285,178,255,29,317,346,350,48,25,168,1126,F,LAL,0.0,25.022222222222222,7.688888888888889,7.777777777777778,1.0666666666666667,0.5555555555555556,3.7333333333333334,2.311111111111111,0.5127582017010935,0.3649122807017544,0.6980392156862745
2020-21,2546,Carmelo Anthony,69,0.0,327,777,133,325,137,154,32,182,214,104,46,38,61,924,F,POR,0.0,13.391304347826088,3.101449275362319,1.5072463768115942,0.6666666666666666,0.5507246376811594,0.8840579710144928,1.9275362318840579,0.42084942084942084,0.40923076923076923,0.8896103896103896
2020-21,2617,Udonis Haslem,1,0.0,2,2,0,0,0,0,0,1,1,0,0,0,0,4,,MIA,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-21,2730,Dwight Howard,69,0.0,178,303,5,20,121,210,190,390,580,61,30,62,112,482,C,PHI,0.0,6.9855072463768115,8.405797101449275,0.8840579710144928,0.43478260869565216,0.8985507246376812,1.6231884057971016,0.07246376811594203,0.5874587458745875,0.25,0.5761904761904761
2020-21,2738,Andre Iguodala,63,0.0,95,248,60,182,25,38,38,183,221,142,57,35,67,275,F,MIA,0.0,4.365079365079365,3.507936507936508,2.253968253968254,0.9047619047619048,0.5555555555555556,1.0634920634920635,0.9523809523809523,0.38306451612903225,0.32967032967032966,0.6578947368421053
2020-21,2760,Anderson Varejao,5,0.0,4,16,0,1,5,9,7,13,20,3,0,2,1,13,,CLE,0.0,2.6,4.0,0.6,0.0,0.4,0.2,0.0,0.25,0.0,0.5555555555555556
2020-21,2772,Trevor Ariza,30,0.0,99,241,50,143,34,44,27,117,144,55,31,18,21,282,F,MIA,0.0,9.4,4.8,1.8333333333333333,1.0333333333333334,0.6,0.7,1.6666666666666667,0.4107883817427386,0.34965034965034963,0.7727272727272727
2020-21,101108,Chris Paul,70,0.0,439,879,102,258,169,181,25,287,312,622,99,19,156,1149,G,PHX,0.0,16.414285714285715,4.457142857142857,8.885714285714286,1.4142857142857144,0.2714285714285714,2.2285714285714286,1.457142857142857,0.49943117178612056,0.3953488372093023,0.9337016574585635
2020-21,101141,Ersan Ilyasova,17,0.0,21,54,18,41,5,5,7,22,29,4,10,3,8,65,C,UTA,0.0,3.823529411764706,1.7058823529411764,0.23529411764705882,0.5882352941176471,0.17647058823529413,0.47058823529411764,1.0588235294117647,0.3888888888888889,0.43902439024390244,1.0
2020-21,101150,Lou Williams,66,0.0,265,646,69,173,150,173,21,117,138,225,47,6,108,749,G,"ATL, LAC",0.0,11.348484848484848,2.090909090909091,3.409090909090909,0.7121212121212122,0.09090909090909091,1.6363636363636365,1.0454545454545454,0.4102167182662539,0.3988439306358382,0.8670520231213873
