personId,personName,games_played,teamTricode,field_goal_percentage,free_throw_percentage,threepointers_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game
2544,LeBron James,45,LAL,0.513,0.698,2.311,25.022,7.689,7.778,1.067,0.556,3.733
2546,Carmelo Anthony,69,POR,0.421,0.89,1.928,13.391,3.101,1.507,0.667,0.551,0.884
2617,Udonis Haslem,1,MIA,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
2730,Dwight Howard,69,PHI,0.587,0.576,0.072,6.986,8.406,0.884,0.435,0.899,1.623
2738,Andre Iguodala,63,MIA,0.383,0.658,0.952,4.365,3.508,2.254,0.905,0.556,1.063
2760,Anderson Varejao,5,CLE,0.25,0.556,0.0,2.6,4.0,0.6,0.0,0.4,0.2
2772,Trevor Ariza,30,MIA,0.411,0.773,1.667,9.4,4.8,1.833,1.033,0.6,0.7
101108,Chris Paul,70,PHX,0.499,0.934,1.457,16.414,4.457,8.886,1.414,0.271,2.229
101141,Ersan Ilyasova,17,UTA,0.389,1.0,1.059,3.824,1.706,0.235,0.588,0.176,0.471
101150,Lou Williams,66,"ATL, LAC",0.41,0.867,1.045,11.348,2.091,3.409,0.712,0.091,1.636
200746,LaMarcus Aldridge,26,"BKN, SAS",0.473,0.872,1.192,13.538,4.538,1.885,0.423,1.115,1.038
200752,Rudy Gay,63,SAS,0.42,0.804,1.683,11.365,4.81,1.397,0.714,0.635,1.032
200755,JJ Redick,44,"DAL, NOP",0.397,0.942,1.5,7.432,1.455,1.159,0.25,0.068,0.818
200765,Rajon Rondo,45,"ATL, LAC",0.442,0.941,0.8,5.378,2.444,4.422,0.822,0.089,1.756
200768,Kyle Lowry,46,TOR,0.436,0.875,2.848,17.196,5.37,7.348,0.978,0.304,2.739
200782,P.J. Tucker,52,"HOU, MIL",0.373,0.75,0.769,3.712,3.923,1.173,0.75,0.385,0.769
200794,Paul Millsap,56,DEN,0.476,0.724,0.875,8.964,4.679,1.75,0.911,0.643,0.911
201142,Kevin Durant,35,BKN,0.537,0.882,2.429,26.943,7.057,5.571,0.714,1.286,3.429
201143,Al Horford,28,OKC,0.45,0.818,2.0,14.214,6.714,3.357,0.893,0.929,1.036
201144,Mike Conley,51,UTA,0.444,0.852,2.706,16.216,3.471,5.98,1.373,0.176,1.941
201145,Jeff Green,68,BKN,0.492,0.776,1.515,11.029,3.868,1.588,0.529,0.397,0.794
201152,Thaddeus Young,68,CHI,0.559,0.628,0.176,12.103,6.221,4.279,1.088,0.588,2.015
201162,Jared Dudley,12,LAL,0.222,0.0,0.167,0.5,1.75,0.417,0.083,0.083,0.167
201188,Marc Gasol,52,LAL,0.454,0.72,0.962,5.038,4.135,2.096,0.5,1.115,1.019
201229,Anthony Tolliver,11,PHI,0.235,0.833,0.364,1.545,0.909,0.182,0.273,0.182,0.273
201565,Derrick Rose,50,"DET, NYK",0.47,0.866,1.0,14.68,2.6,4.18,0.98,0.38,1.56
201566,Russell Westbrook,65,WAS,0.439,0.656,1.323,22.231,11.538,11.738,1.369,0.354,4.8
201567,Kevin Love,25,CLE,0.409,0.824,2.28,12.2,7.44,2.52,0.64,0.08,1.52
201568,Danilo Gallinari,51,ATL,0.434,0.925,2.02,13.255,4.137,1.49,0.588,0.196,0.843
201569,Eric Gordon,27,HOU,0.433,0.825,2.556,17.815,2.148,2.63,0.519,0.481,1.889
201571,D.J. Augustin,57,"HOU, MIL",0.394,0.904,1.456,7.684,1.649,3.298,0.491,0.018,1.14
201572,Brook Lopez,70,MIL,0.503,0.845,1.357,12.271,4.957,0.714,0.571,1.471,0.914
201577,Robin Lopez,71,WAS,0.633,0.723,0.07,9.042,3.831,0.775,0.211,0.62,1.056
201580,JaVale McGee,46,"CLE, DEN",0.511,0.657,0.109,7.326,5.196,0.848,0.413,1.174,1.304
201586,Serge Ibaka,41,LAC,0.51,0.811,0.951,11.073,6.707,1.805,0.22,1.146,1.073
201587,Nicolas Batum,67,LAC,0.464,0.828,1.642,8.06,4.716,2.209,1.03,0.552,0.791
201588,George Hill,30,"OKC, PHI",0.482,0.8,1.033,8.7,2.033,2.433,0.767,0.167,1.033
201599,DeAndre Jordan,57,BKN,0.763,0.5,0.0,7.474,7.491,1.632,0.298,1.14,1.491
201609,Goran Dragic,50,MIA,0.432,0.828,1.82,13.44,3.38,4.38,0.66,0.16,2.36
201933,Blake Griffin,46,"BKN, DET",0.423,0.744,1.522,10.978,4.891,3.043,0.696,0.326,1.348
201935,James Harden,44,"BKN, HOU",0.466,0.861,2.75,24.614,7.909,10.795,1.205,0.75,4.023
201937,Ricky Rubio,68,MIN,0.388,0.867,0.971,8.559,3.279,6.368,1.441,0.059,1.632
201939,Stephen Curry,63,GSW,0.482,0.916,5.349,31.984,5.476,5.762,1.222,0.127,3.381
201942,DeMar DeRozan,61,SAS,0.495,0.88,0.311,21.574,4.246,6.918,0.918,0.246,1.951
201949,James Johnson,51,"DAL, NOP",0.446,0.592,0.608,7.216,3.471,1.922,0.824,0.824,1.078
201950,Jrue Holiday,59,MIL,0.503,0.787,1.881,17.729,4.542,6.051,1.627,0.627,2.153
201952,Jeff Teague,55,"BOS, MIL",0.433,0.848,0.655,6.745,1.6,2.4,0.618,0.218,1.164
201959,Taj Gibson,45,NYK,0.627,0.727,0.067,5.356,5.556,0.8,0.689,1.089,0.489
201961,Wayne Ellington,46,DET,0.441,0.8,2.522,9.609,1.848,1.457,0.391,0.196,0.717
201976,Patrick Beverley,37,LAC,0.423,0.8,1.514,7.514,3.216,2.054,0.784,0.757,0.919
201980,Danny Green,69,PHI,0.412,0.775,2.536,9.478,3.768,1.71,1.333,0.812,0.971
201988,Patty Mills,68,SAS,0.412,0.91,2.368,10.824,1.706,2.382,0.618,0.044,0.971
202066,Garrett Temple,56,CHI,0.415,0.8,1.196,7.554,2.857,2.214,0.768,0.536,1.036
202083,Wesley Matthews,58,LAL,0.353,0.854,1.138,4.81,1.603,0.931,0.655,0.293,0.448
202322,John Wall,40,HOU,0.404,0.749,1.975,20.575,3.225,6.875,1.05,0.775,3.525
202324,Derrick Favors,68,UTA,0.638,0.738,0.0,5.426,5.529,0.647,0.471,1.0,0.529
202326,DeMarcus Cousins,41,"HOU, LAC",0.426,0.728,1.146,8.927,6.415,1.854,0.829,0.585,1.561
202329,Al-Farouq Aminu,23,"CHI, ORL",0.384,0.818,0.348,4.435,4.783,1.348,0.826,0.391,1.217
202330,Gordon Hayward,44,CHA,0.473,0.843,1.932,19.614,5.864,4.114,1.182,0.318,2.068
